"Season","Player","Team","Votes","Votes_3","Votes_2","Votes_1","Players_With_Votes","Games_Polled","Polled","V_G"
2015,"Nathan Fyfe W","Dockers",113,31,9,2,0,18,"11","1.72"
2015,"Matthew Priddis","Eagles",99,28,4,7,2,22,"13","1.27"
2015,"Sam Mitchell","Hawks",92,26,6,2,4,20,"12","1.30"
2015,"Josh Kennedy","Swans",89,25,6,2,3,22,"11","1.14"
2015,"Daniel Hannebery","Swans",85,24,3,7,1,22,"11","1.09"
2015,"Patrick Dangerfield","Crows",79,22,5,3,1,21,"9","1.05"
2015,"Dustin Martin","Tigers",74,21,3,5,2,22,"10","0.95"
2015,"Callan Ward","Giants",67,19,4,2,3,22,"9","0.86"
2015,"David Mundy","Dockers",68,19,3,5,0,21,"8","0.90"
2015,"Todd Goldstein","Kangaroos",63,18,3,3,3,21,"9","0.86"
2015,"Trent Cotchin","Tigers",60,17,3,3,2,21,"8","0.81"
2015,"Dane Swan","Magpies",60,17,3,3,2,21,"8","0.81"
2015,"Andrew Gaff","Eagles",57,17,1,4,6,22,"11","0.77"
2015,"Travis Boak","Power",56,16,2,4,2,22,"8","0.73"
2015,"Scott Pendlebury","Magpies",53,15,3,2,2,22,"7","0.68"
2015,"Aaron Sandilands","Dockers",50,14,3,2,1,21,"6","0.67"
2015,"Bernie Vince","Demons",49,14,2,3,2,21,"7","0.67"
2015,"Joel Selwood","Cats",46,13,2,3,1,20,"6","0.65"
2015,"Marcus Bontempelli","Bulldogs",47,13,4,0,1,20,"5","0.65"
2015,"Luke Hodge","Hawks",46,13,3,1,2,17,"6","0.76"
2015,"Robbie Gray","Power",47,13,3,2,0,21,"5","0.62"
2015,"Jack Steven","Saints",42,12,2,2,2,22,"6","0.55"
2015,"David Armitage","Saints",43,12,3,1,1,21,"5","0.57"
2015,"Marc Murphy","Blues",43,12,2,3,0,19,"5","0.63"
2015,"Joshua Kennedy","Eagles",43,12,3,1,1,22,"5","0.55"
2015,"Scott Thompson","Crows",43,12,3,1,1,19,"5","0.63"
2015,"Jeremy Cameron","Giants",43,12,2,3,0,22,"5","0.55"
2015,"Tom Mitchell","Swans",43,12,2,3,0,17,"5","0.71"
2015,"Jackson Macrae","Bulldogs",39,11,2,2,1,20,"5","0.55"
2015,"Brad Ebert","Power",36,10,2,2,0,22,"4","0.45"
2015,"Taylor Walker","Crows",36,10,3,0,1,21,"4","0.48"
2015,"Lachie Neale","Dockers",35,10,2,1,2,22,"5","0.45"
2015,"Nathan Jones","Demons",35,10,2,1,2,22,"5","0.45"
2015,"Dyson Heppell","Bombers",34,10,0,4,2,22,"6","0.45"
2015,"Luke Parker","Swans",32,9,2,1,1,19,"4","0.47"
2015,"Jarryd Roughead","Hawks",32,9,2,1,1,20,"4","0.45"
2015,"Dayne Beams","Lions",31,9,1,2,2,16,"5","0.56"
2015,"Steele Sidebottom","Magpies",32,9,1,3,0,16,"4","0.56"
2015,"Anthony Miles","Tigers",33,9,3,0,0,22,"3","0.41"
2015,"Brett Deledio","Tigers",28,8,2,0,2,17,"4","0.47"
2015,"Lance Franklin","Swans",29,8,2,1,0,17,"3","0.47"
2015,"Jordan Lewis","Hawks",28,8,1,2,1,19,"4","0.42"
2015,"Matthew Boyd","Bulldogs",29,8,2,1,0,18,"3","0.44"
2015,"Alex Rance","Tigers",28,8,1,2,1,22,"4","0.36"
2015,"Shaun Higgins","Kangaroos",28,8,1,2,1,21,"4","0.38"
2015,"Andrew Swallow","Kangaroos",28,8,1,2,1,19,"4","0.42"
2015,"Jack Ziebell","Kangaroos",29,8,2,1,0,21,"3","0.38"
2015,"Taylor Adams","Magpies",28,8,1,2,1,18,"4","0.44"
2015,"Mitchell Wallis","Bulldogs",28,8,1,2,1,19,"4","0.42"
2015,"Drew Petrie","Kangaroos",25,7,2,0,1,21,"3","0.33"
2015,"Cyril Rioli","Hawks",25,7,1,2,0,20,"3","0.35"
2015,"Jobe Watson","Bombers",25,7,2,0,1,12,"3","0.58"
2015,"Nicholas Naitanui","Eagles",25,7,2,0,1,20,"3","0.35"
2015,"Jack Gunston","Hawks",25,7,2,0,1,22,"3","0.32"
2015,"Steven Motlop","Cats",25,7,2,0,1,20,"3","0.35"
2015,"Luke Shuey","Eagles",25,7,2,0,1,22,"3","0.32"
2015,"Adam Treloar","Giants",24,7,1,1,2,21,"4","0.33"
2015,"Stefan Martin","Lions",24,7,0,3,1,20,"4","0.35"
2015,"Harley Bennell","Suns",25,7,1,2,0,15,"3","0.47"
2015,"Luke Dahlhaus","Bulldogs",24,7,1,1,2,22,"4","0.32"
2015,"Eddie Betts","Crows",24,7,1,1,2,21,"4","0.33"
2015,"Brandon Ellis","Tigers",24,7,0,3,1,22,"4","0.32"
2015,"Tom Bell","Blues",22,6,2,0,0,22,"2","0.27"
2015,"Harry Taylor","Cats",21,6,1,1,1,21,"3","0.29"
2015,"Patrick Cripps","Blues",21,6,1,1,1,20,"3","0.30"
2015,"Stephen Hill","Dockers",20,6,0,2,2,21,"4","0.29"
2015,"Charlie Dixon","Suns",22,6,2,0,0,16,"2","0.38"
2015,"Oliver Wines","Power",22,6,2,0,0,13,"2","0.46"
2015,"Nick Riewoldt","Saints",21,6,1,1,1,17,"3","0.35"
2015,"Easton Wood","Bulldogs",21,6,1,1,1,21,"3","0.29"
2015,"Mitchell Duncan","Cats",22,6,2,0,0,11,"2","0.55"
2015,"Brent Stanton","Bombers",22,6,2,0,0,22,"2","0.27"
2015,"Josh Caddy","Cats",21,6,1,1,1,19,"3","0.32"
2015,"Dylan Shiel","Giants",22,6,2,0,0,14,"2","0.43"
2015,"Chad Wingard","Power",20,6,0,2,2,22,"4","0.27"
2015,"Shane Edwards","Tigers",21,6,1,1,1,15,"3","0.40"
2015,"Brodie Smith","Crows",22,6,2,0,0,19,"2","0.32"
2015,"Cameron Guthrie","Cats",21,6,1,1,1,21,"3","0.29"
2015,"Jesse Hogan","Demons",17,5,0,2,1,20,"3","0.25"
2015,"Robert Murphy","Bulldogs",18,5,1,1,0,20,"2","0.25"
2015,"Chris Masten","Eagles",17,5,0,2,1,20,"3","0.25"
2015,"Michael Barlow","Dockers",16,5,0,1,3,22,"4","0.23"
2015,"Joe Daniher","Bombers",18,5,1,1,0,22,"2","0.23"
2015,"Liam Shiels","Hawks",17,5,0,2,1,18,"3","0.28"
2015,"Sam Gray","Power",17,5,0,2,1,10,"3","0.50"
2015,"Dayne Zorko","Lions",16,5,0,1,3,22,"4","0.23"
2015,"Gary Ablett","Suns",17,5,0,2,1,6,"3","0.83"
2015,"Leigh Montagna","Saints",18,5,1,1,0,17,"2","0.29"
2015,"Tom Lynch","Suns",18,5,1,1,0,20,"2","0.25"
2015,"Aaron Hall","Suns",17,5,1,0,2,15,"3","0.33"
2015,"Elliot Yeo","Eagles",16,5,0,1,3,21,"4","0.24"
2015,"Mark Blicavs","Cats",14,4,0,2,0,21,"2","0.19"
2015,"Jack Crisp","Magpies",14,4,1,0,1,22,"2","0.18"
2015,"Brent Harvey","Kangaroos",13,4,0,1,2,22,"3","0.18"
2015,"Travis Cloke","Magpies",14,4,1,0,1,17,"2","0.24"
2015,"Taylor Hunt","Tigers",14,4,1,0,1,22,"2","0.18"
2015,"Rory Sloane","Crows",13,4,0,1,2,16,"3","0.25"
2015,"Liam Picken","Bulldogs",13,4,0,1,2,20,"3","0.20"
2015,"Sam Jacobs","Crows",13,4,0,1,2,21,"3","0.19"
2015,"Max Gawn","Demons",14,4,1,0,1,13,"2","0.31"
2015,"Tyrone Vickery","Tigers",14,4,1,0,1,14,"2","0.29"
2015,"Stephen Coniglio","Giants",13,4,0,1,2,18,"3","0.22"
2015,"Kurt Tippett","Swans",13,4,0,1,2,20,"3","0.20"
2015,"Tom Rockliff","Lions",13,4,0,1,2,16,"3","0.25"
2015,"Corey Enright","Cats",14,4,1,0,1,21,"2","0.19"
2015,"Bradley Hill","Hawks",14,4,0,2,0,20,"2","0.20"
2015,"Josh Bruce","Saints",13,4,0,1,2,22,"3","0.18"
2015,"Jason Johannisen","Bulldogs",13,4,0,1,2,20,"3","0.20"
2015,"Sam Butler","Eagles",11,3,1,0,0,14,"1","0.21"
2015,"Aaron Vandenberg","Demons",11,3,1,0,0,14,"1","0.21"
2015,"Jeremy Howe","Demons",11,3,1,0,0,22,"1","0.14"
2015,"Christopher Mayne","Dockers",10,3,0,1,1,20,"2","0.15"
2015,"Adam Saad","Suns",10,3,0,1,1,16,"2","0.19"
2015,"Michael Rischitelli","Suns",10,3,0,1,1,21,"2","0.14"
2015,"Kieren Jack","Swans",10,3,0,1,1,22,"2","0.14"
2015,"Jarrad Waite","Kangaroos",11,3,1,0,0,20,"1","0.15"
2015,"Matthew Kreuzer","Blues",11,3,1,0,0,13,"1","0.23"
2015,"Jack Viney","Demons",10,3,0,1,1,16,"2","0.19"
2015,"Hamish Hartlett","Power",11,3,1,0,0,22,"1","0.14"
2015,"Jamie Elliott","Magpies",10,3,0,1,1,20,"2","0.15"
2015,"Sharrod Wellingham","Eagles",11,3,1,0,0,21,"1","0.14"
2015,"Jarrad McVeigh","Swans",10,3,0,1,1,20,"2","0.15"
2015,"Mitch Robinson","Lions",11,3,1,0,0,21,"1","0.14"
2015,"Brendon Ah Chee","Power",11,3,1,0,0,11,"1","0.27"
2015,"Ivan Maric","Tigers",10,3,0,1,1,21,"2","0.14"
2015,"Pearce Hanley","Lions",11,3,1,0,0,11,"1","0.27"
2015,"Josh Jenkins","Crows",10,3,0,1,1,19,"2","0.16"
2015,"Jordan Murdoch","Cats",11,3,1,0,0,18,"1","0.17"
2015,"Ben Howlett","Bombers",11,3,1,0,0,20,"1","0.15"
2015,"Luke Breust","Hawks",10,3,0,1,1,21,"2","0.14"
2015,"Shane Mumford","Giants",10,3,0,1,1,11,"2","0.27"
2015,"Ben Cunnington","Kangaroos",10,3,0,1,1,21,"2","0.14"
2015,"Justin Westhoff","Power",11,3,1,0,0,22,"1","0.14"
2015,"Paul Seedsman","Magpies",11,3,1,0,0,12,"1","0.25"
2015,"Stewart Crameri","Bulldogs",11,3,1,0,0,17,"1","0.18"
2015,"Jake Stringer","Bulldogs",10,3,0,1,1,21,"2","0.14"
2015,"Daniel Rich","Lions",11,3,1,0,0,21,"1","0.14"
2015,"Josh Hill","Eagles",11,3,1,0,0,19,"1","0.16"
2015,"Tom Hawkins","Cats",10,3,0,1,1,19,"2","0.16"
2015,"Toby Greene","Giants",11,3,1,0,0,22,"1","0.14"
2015,"Isaac Smith","Hawks",9,3,0,0,3,21,"3","0.14"
2015,"Devon Smith","Giants",11,3,1,0,0,20,"1","0.15"
2015,"Andrew Mackie","Cats",11,3,1,0,0,15,"1","0.20"
2015,"Jack Riewoldt","Tigers",11,3,1,0,0,22,"1","0.14"
2015,"Michael Walters","Dockers",10,3,0,1,1,20,"2","0.15"
2015,"Jack Darling","Eagles",11,3,1,0,0,12,"1","0.25"
