"Season","Round","Home.Team","Away.Team","Player.Name","Coaches.Votes"
2015,1,"Carlton","Richmond","Taylor Hunt (RICH)","7"
2015,1,"Carlton","Richmond","Brandon Ellis (RICH)","6"
2015,1,"Carlton","Richmond","Shane Edwards (RICH)","6"
2015,1,"Carlton","Richmond","Kamdyn McIntosh (RICH)","5"
2015,1,"Carlton","Richmond","Sam Docherty (CARL)","3"
2015,1,"Carlton","Richmond","Nick Vlastuin (RICH)","3"
2015,1,"Melbourne","Gold Coast Suns","Tom McDonald (MELB)","10"
2015,1,"Melbourne","Gold Coast Suns","Jack Watts (MELB)","6"
2015,1,"Melbourne","Gold Coast Suns","Jeremy Howe (MELB)","4"
2015,1,"Melbourne","Gold Coast Suns","Jeff Garlett (MELB)","4"
2015,1,"Melbourne","Gold Coast Suns","Nathan Jones (MELB)","2"
2015,1,"Melbourne","Gold Coast Suns","Jack Viney (MELB)","2"
2015,1,"Melbourne","Gold Coast Suns","Dion Prestia (GCFC)","1"
2015,1,"Melbourne","Gold Coast Suns","Michael Rischitelli (GCFC)","1"
2015,1,"Sydney Swans","Essendon","Luke Parker (SYD)","8"
2015,1,"Sydney Swans","Essendon","Kieren Jack (SYD)","7"
2015,1,"Sydney Swans","Essendon","Josh Kennedy (SYD)","6"
2015,1,"Sydney Swans","Essendon","Dan Hannebery (SYD)","5"
2015,1,"Sydney Swans","Essendon","Michael Hurley (ESS)","2"
2015,1,"Sydney Swans","Essendon","Lance Franklin (SYD)","1"
2015,1,"Sydney Swans","Essendon","Jake Melksham (ESS)","1"
2015,1,"Brisbane Lions","Collingwood","Steele Sidebottom (COLL)","10"
2015,1,"Brisbane Lions","Collingwood","Brodie Grundy (COLL)","4"
2015,1,"Brisbane Lions","Collingwood","Daniel Rich (BL)","4"
2015,1,"Brisbane Lions","Collingwood","Scott Pendlebury (COLL)","4"
2015,1,"Brisbane Lions","Collingwood","Josh Green (BL)","3"
2015,1,"Brisbane Lions","Collingwood","Jarryd Blair (COLL)","2"
2015,1,"Brisbane Lions","Collingwood","Taylor Adams (COLL)","2"
2015,1,"Brisbane Lions","Collingwood","Alan Toovey (COLL)","1"
2015,1,"Western Bulldogs","West Coast Eagles","Jeremy McGovern (WCE)","10"
2015,1,"Western Bulldogs","West Coast Eagles","Jake Stringer (WB)","5"
2015,1,"Western Bulldogs","West Coast Eagles","Jamie Cripps (WCE)","5"
2015,1,"Western Bulldogs","West Coast Eagles","Matthew Boyd (WB)","4"
2015,1,"Western Bulldogs","West Coast Eagles","Will Minson (WB)","4"
2015,1,"Western Bulldogs","West Coast Eagles","Marcus Bontempelli (WB)","1"
2015,1,"Western Bulldogs","West Coast Eagles","Mitch Wallis (WB)","1"
2015,1,"St Kilda","GWS Giants","Dylan Shiel (GWS)","10"
2015,1,"St Kilda","GWS Giants","Jarryn Geary (STK)","4"
2015,1,"St Kilda","GWS Giants","Adam Treloar (GWS)","4"
2015,1,"St Kilda","GWS Giants","Jack Steven (STK)","4"
2015,1,"St Kilda","GWS Giants","Lachie Whitfield (GWS)","3"
2015,1,"St Kilda","GWS Giants","Shane Savage (STK)","2"
2015,1,"St Kilda","GWS Giants","Maverick Weller (STK)","2"
