Season,Round,Home.Team,Away.Team,Player.Name,Coaches.Votes
2006,1,West Coast Eagles,St Kilda,Dean Cox (WCE),9.0
2006,1,West Coast Eagles,St Kilda,Daniel Kerr (WCE),9.0
2006,1,West Coast Eagles,St Kilda,David Wirrpanda (WCE),6.0
2006,1,West Coast Eagles,St Kilda,Lenny Hayes (STK),2.0
2006,1,West Coast Eagles,St Kilda,Chad Fletcher (WCE),2.0
2006,1,West Coast Eagles,St Kilda,Adam Selwood (WCE),1.0
2006,1,West Coast Eagles,St Kilda,Jason Gram (STK),1.0
2006,1,Western Bulldogs,Richmond,Scott West (WB),10.0
2006,1,Western Bulldogs,Richmond,Daniel Cross (WB),8.0
2006,1,Western Bulldogs,Richmond,Nathan Eagleton (WB),5.0
2006,1,Western Bulldogs,Richmond,Brad Johnson (WB),4.0
2006,1,Western Bulldogs,Richmond,Daniel Giansiracusa (WB),2.0
2006,1,Western Bulldogs,Richmond,Jordan McMahon (WB),1.0
2006,1,Geelong Cats,Brisbane Lions,Paul Chapman (GEEL),10.0
2006,1,Geelong Cats,Brisbane Lions,Gary Ablett (GEEL),6.0
2006,1,Geelong Cats,Brisbane Lions,James Bartel (GEEL),6.0
2006,1,Geelong Cats,Brisbane Lions,Darren Milburn (GEEL),5.0
2006,1,Geelong Cats,Brisbane Lions,Matthew Egan (GEEL),2.0
2006,1,Geelong Cats,Brisbane Lions,Joel Corey (GEEL),1.0
2006,1,Essendon,Sydney Swans,Matthew Lloyd (ESS),10.0
2006,1,Essendon,Sydney Swans,Barry Hall (SYD),8.0
2006,1,Essendon,Sydney Swans,Dustin Fletcher (ESS),6.0
2006,1,Essendon,Sydney Swans,Adam Goodes (SYD),2.0
2006,1,Essendon,Sydney Swans,Dean Solomon (ESS),2.0
2006,1,Essendon,Sydney Swans,Scott Lucas (ESS),1.0
2006,1,Essendon,Sydney Swans,Jobe Watson (ESS),1.0
2006,1,Port Adelaide,North Melbourne,Adam Simpson (NMFC),6.0
2006,1,Port Adelaide,North Melbourne,Daniel Wells (NMFC),5.0
