Player,Round,Vote
Aaron Cadman,0,0.0
Aaron Cadman,1,0.0
Aaron Cadman,2,0.0
Aaron Cadman,3,0.0
Aaron Cadman,5,1.0
Aaron Cadman,6,0.0
Aaron Naughton,1,2.0
Aliir Aliir,2,1.0
Aliir Aliir,4,3.0
Aliir Aliir,8,1.0
Andrew Brayshaw,2,3.0
Andrew Brayshaw,15,2.0
Andrew Brayshaw,16,3.0
Angus Anderson,0,0.0
Angus Anderson,1,0.0
Angus Anderson,3,0.0
Angus Anderson,16,0.0
Archie Roberts,4,1.0
Archie Roberts,5,3.0
Archie Roberts,9,2.0
Archie Roberts,16,0.0
Bailey Humphrey,0,1.0
Bailey Humphrey,1,0.0
Bailey Humphrey,4,0.0
Bailey Humphrey,5,0.0
Bailey J. Williams,1,0.0
Bailey J. Williams,2,0.0
Bailey J. Williams,3,0.0
Bailey J. Williams,10,1.0
Bailey J. Williams,11,2.0
Bailey Smith,3,3.0
Bailey Smith,4,3.0
Bailey Smith,5,3.0
Bailey Smith,6,2.0
Bailey Smith,9,3.0
Bailey Smith,10,1.0
Bailey Smith,12,1.0
Bailey Smith,14,3.0
Bailey Smith,15,0.0
Beau Addinsall,0,0.0
Beau Addinsall,1,0.0
Beau Addinsall,2,0.0
Beau Addinsall,4,0.0
Beau Addinsall,5,0.0
Beau Addinsall,6,0.0
Beau Addinsall,7,0.0
Beau Addinsall,8,0.0
Beau Addinsall,9,0.0
Beau Addinsall,10,0.0
Ben King,2,3.0
Billy Frampton,3,1.0
Blake Acres,0,0.0
Blake Acres,1,0.0
Blake Acres,6,0.0
Blake Acres,7,0.0
Blake Acres,8,0.0
Blake Acres,9,0.0
Blake Acres,10,0.0
Bo Allan,8,0.0
Bodhi Uwland,2,1.0
Brodie Grundy,4,2.0
Brodie Grundy,5,2.0
Brodie Grundy,7,1.0
Brodie Grundy,8,2.0
Brodie Grundy,10,3.0
Brodie Grundy,12,0.0
Caleb Serong,3,2.0
Caleb Serong,4,3.0
Caleb Serong,9,2.0
Caleb Serong,11,0.0
Caleb Serong,12,0.0
Caleb Serong,13,0.0
Caleb Windsor,7,2.0
Caleb Windsor,10,0.0
Caleb Windsor,14,0.0
Callum Ah Chee,3,0.0
Callum Ah Chee,4,0.0
Callum Ah Chee,5,0.0
Callum Ah Chee,6,0.0
Callum Ah Chee,7,0.0
Callum Ah Chee,8,0.0
Callum Ah Chee,9,0.0
Callum Ah Chee,10,0.0
Callum Ah Chee,14,0.0
Callum Ah Chee,15,0.0
Callum Ah Chee,16,0.0
Callum Wilkie,2,2.0
Callum Wilkie,6,3.0
Callum Wilkie,7,2.0
Cam Mackenzie,0,0.0
Cam Mackenzie,4,0.0
Cam Mackenzie,16,1.0
Chad Warner,2,2.0
Chad Warner,4,1.0
Chad Warner,12,1.0
Chad Warner,13,1.0
Chad Warner,14,2.0
Chad Warner,16,3.0
Charlie Cameron,0,2.0
Charlie Cameron,7,2.0
Charlie Curnow,7,3.0
Charlie Curnow,9,0.0
Charlie Curnow,12,2.0
Christian Petracca,0,3.0
Christian Petracca,1,3.0
Christian Petracca,4,0.0
Christian Petracca,5,0.0
Christian Petracca,6,3.0
Christian Petracca,8,3.0
Clayton Oliver,0,3.0
Clayton Oliver,6,2.0
Clayton Oliver,10,2.0
Clayton Oliver,11,2.0
Clayton Oliver,14,1.0
Cody Anderson,0,0.0
Cody Anderson,1,0.0
Cody Anderson,2,0.0
Cody Anderson,4,0.0
Cody Anderson,5,0.0
Cody Anderson,6,0.0
Cody Anderson,7,0.0
Cody Anderson,8,0.0
Cody Anderson,9,0.0
Cody Anderson,10,0.0
Cody Anderson,11,0.0
Cody Anderson,12,0.0
Cody Anderson,13,0.0
Cody Anderson,15,0.0
Cody Anderson,16,0.0
Cody Angove,0,0.0
Cody Angove,1,0.0
Cody Angove,2,0.0
Cody Angove,3,0.0
Cody Angove,5,0.0
Cody Angove,6,0.0
Cody Angove,7,0.0
Cody Angove,8,0.0
Cody Angove,9,0.0
Cody Angove,10,0.0
Cody Angove,11,0.0
Cody Angove,12,0.0
Cody Angove,14,0.0
Cody Angove,15,0.0
Cody Angove,16,0.0
Colby Mckercher,3,1.0
Colby Mckercher,6,2.0
Connor Idun,12,1.0
Connor Macdonald,1,3.0
Connor Macdonald,4,1.0
Connor Macdonald,8,1.0
Cooper Trembath,4,1.0
Cooper Trembath,15,3.0
Cooper Trembath,16,1.0
Dan Houston,8,2.0
Daniel Annable,3,0.0
Daniel Annable,4,0.0
Daniel Annable,5,0.0
Daniel Annable,6,0.0
Daniel Annable,7,0.0
Daniel Annable,8,0.0
Daniel Annable,9,0.0
Daniel Annable,10,0.0
Daniel Annable,11,0.0
Daniel Annable,12,0.0
Daniel Annable,13,0.0
Daniel Annable,14,0.0
Daniel Annable,16,0.0
Daniel Curtin,1,0.0
Daniel Curtin,2,0.0
Daniel Curtin,3,0.0
Daniel Curtin,4,0.0
Daniel Curtin,5,0.0
Daniel Curtin,6,0.0
Daniel Curtin,7,0.0
Daniel Curtin,13,2.0
Darcy Parish,5,2.0
Darcy Parish,6,1.0
Darcy Parish,8,0.0
Darcy Parish,11,3.0
Darcy Parish,13,0.0
Darcy Parish,14,0.0
Darcy Wilmot,8,2.0
Darcy Wilmot,12,1.0
Darcy Wilmot,13,1.0
Darcy Wilson,9,1.0
