player,best_odds,implied_prob,best_bookie,scraped_at
Nick Daicos,3.5,28.57,bet365,2026-06-24 12:13
Marcus Bontempelli,6.0,16.67,bet365,2026-06-24 12:13
Isaac Heeney,7.66,13.05,Betfair,2026-06-24 12:13
Bailey Smith,9.23,10.83,Betfair,2026-06-24 12:13
Luke Jackson,13.0,7.69,bet365,2026-06-24 12:13
Jordan Dawson,13.0,7.69,bet365,2026-06-24 12:13
Kysaiah Pickett,26.0,3.85,BetMGM UK,2026-06-24 12:13
Zak Butters,26.0,3.85,bet365,2026-06-24 12:13
Jai Newcombe,29.0,3.45,Betfair,2026-06-24 12:13
Lachie Neale,34.0,2.94,bet365,2026-06-24 12:13
Max Holmes,41.0,2.44,Skybet,2026-06-24 12:13
Patrick Cripps,45.0,2.22,Betfair,2026-06-24 12:13
Christian Petracca,51.0,1.96,Skybet,2026-06-24 12:13
Nasiah Wanganeen-Milera,67.0,1.49,bet365,2026-06-24 12:13
Jason Horne-Francis,101.0,0.99,bet365,2026-06-24 12:13
Harry Sheezel,118.0,0.85,Betfair,2026-06-24 12:13
Shai Bolton,118.0,0.85,Betfair,2026-06-24 12:13
Ed Richards,151.0,0.66,BetMGM UK,2026-06-24 12:13
Luke Davies-Uniacke,151.0,0.66,BetMGM UK,2026-06-24 12:13
Will Ashcroft,151.0,0.66,bet365,2026-06-24 12:13
Finn Callaghan,151.0,0.66,bet365,2026-06-24 12:13
Max Gawn,157.0,0.64,Betfair,2026-06-24 12:13
Noah Anderson,157.0,0.64,Betfair,2026-06-24 12:13
Clayton Oliver,157.0,0.64,Betfair,2026-06-24 12:13
Josh Rachele,251.0,0.4,bet365,2026-06-24 12:13
Sam Walsh,251.0,0.4,bet365,2026-06-24 12:13
Matthew Rowell,251.0,0.4,BetMGM UK,2026-06-24 12:13
Andrew Brayshaw,251.0,0.4,bet365,2026-06-24 12:13
Nic Martin,251.0,0.4,bet365,2026-06-24 12:13
Murphy Reid,251.0,0.4,bet365,2026-06-24 12:13
Chad Warner,251.0,0.4,bet365,2026-06-24 12:13
Jack Rachele,251.0,0.4,Betway,2026-06-24 12:13
Caleb Serong,251.0,0.4,bet365,2026-06-24 12:13
Nick Watson,255.0,0.39,Betfair,2026-06-24 12:13
Brodie Grundy,274.0,0.36,Betfair,2026-06-24 12:13
Errol Gulden,284.0,0.35,Betfair,2026-06-24 12:13
Harley Reid,294.0,0.34,Betfair,2026-06-24 12:13
Harvey Langford,490.0,0.2,Betfair,2026-06-24 12:13
Justin McInerney,501.0,0.2,bet365,2026-06-24 12:13
Jordan De Goey,501.0,0.2,bet365,2026-06-24 12:13
Jeremy Cameron,501.0,0.2,bet365,2026-06-24 12:13
