Player,Round,Vote
Aaron Naughton,0,0.0
Aaron Naughton,1,2.0
Aaron Naughton,2,0.0
Aaron Naughton,3,0.0
Aaron Naughton,4,0.0
Aaron Naughton,5,0.0
Aaron Naughton,6,0.0
Aaron Naughton,7,0.0
Aaron Naughton,8,0.0
Aaron Naughton,9,0.0
Aaron Naughton,10,0.0
Aaron Naughton,11,0.0
Aaron Naughton,12,0.0
Aaron Naughton,13,0.0
Aaron Naughton,14,0.0
Aaron Naughton,15,0.0
Aaron Naughton,16,0.0
Aaron Naughton,17,0.0
Aaron Naughton,18,2.0
Aaron Naughton,19,0.0
Aaron Naughton,20,0.0
Aaron Naughton,21,0.0
Adam Treloar,0,0.0
Adam Treloar,1,0.0
Adam Treloar,2,0.0
Adam Treloar,3,0.0
Adam Treloar,4,0.0
Adam Treloar,5,0.0
Adam Treloar,6,0.0
Adam Treloar,7,0.0
Adam Treloar,8,0.0
Adam Treloar,9,0.0
Adam Treloar,10,0.0
Adam Treloar,11,0.0
Adam Treloar,12,0.0
Adam Treloar,13,0.0
Adam Treloar,14,0.0
Adam Treloar,15,0.0
Adam Treloar,16,0.0
Adam Treloar,17,0.0
Adam Treloar,18,0.0
Adam Treloar,19,0.0
Adam Treloar,20,0.0
Adam Treloar,21,0.0
Alex Neale-Bullen,0,0.0
Alex Neale-Bullen,1,1.0
Alex Neale-Bullen,2,0.0
Alex Neale-Bullen,3,0.0
Alex Neale-Bullen,4,0.0
Alex Neale-Bullen,5,0.0
Alex Neale-Bullen,6,0.0
Alex Neale-Bullen,7,0.0
Alex Neale-Bullen,8,0.0
Alex Neale-Bullen,9,0.0
Alex Neale-Bullen,10,0.0
Alex Neale-Bullen,11,0.0
Alex Neale-Bullen,12,0.0
Alex Neale-Bullen,13,0.0
Alex Neale-Bullen,14,0.0
Alex Neale-Bullen,15,0.0
Alex Neale-Bullen,16,0.0
Alex Neale-Bullen,17,0.0
Alex Neale-Bullen,18,0.0
Alex Neale-Bullen,19,0.0
Alex Neale-Bullen,20,0.0
Alex Neale-Bullen,21,0.0
Alex Pearce,18,3.0
Alex Pearce,19,0.0
Alex Pearce,20,0.0
Alex Pearce,21,0.0
Aliir Aliir,0,0.0
Aliir Aliir,1,0.0
Aliir Aliir,2,1.0
Aliir Aliir,3,0.0
Aliir Aliir,4,2.0
Aliir Aliir,5,0.0
Aliir Aliir,6,0.0
Aliir Aliir,7,0.0
Aliir Aliir,8,2.0
Aliir Aliir,9,0.0
Aliir Aliir,10,0.0
Aliir Aliir,11,0.0
Aliir Aliir,12,0.0
Aliir Aliir,13,0.0
Aliir Aliir,14,0.0
Aliir Aliir,15,0.0
Aliir Aliir,16,0.0
Aliir Aliir,17,0.0
Aliir Aliir,18,0.0
Aliir Aliir,19,0.0
Aliir Aliir,20,0.0
Aliir Aliir,21,0.0
Andrew Brayshaw,0,0.0
Andrew Brayshaw,1,0.0
Andrew Brayshaw,2,3.0
Andrew Brayshaw,3,0.0
Andrew Brayshaw,4,0.0
Andrew Brayshaw,5,0.0
Andrew Brayshaw,6,0.0
Andrew Brayshaw,7,0.0
Andrew Brayshaw,8,0.0
Andrew Brayshaw,9,0.0
Andrew Brayshaw,10,0.0
Andrew Brayshaw,11,0.0
Andrew Brayshaw,12,0.0
Andrew Brayshaw,13,2.0
Andrew Brayshaw,14,0.0
Andrew Brayshaw,15,2.0
Andrew Brayshaw,16,3.0
Andrew Brayshaw,17,0.0
Andrew Brayshaw,18,0.0
Andrew Brayshaw,19,2.5
Andrew Brayshaw,20,0.0
Andrew Brayshaw,21,0.0
Archie Roberts,4,1.0
Archie Roberts,5,3.0
Archie Roberts,6,0.0
Archie Roberts,7,0.0
Archie Roberts,8,0.0
Archie Roberts,9,2.0
Archie Roberts,10,0.0
Archie Roberts,11,0.0
Archie Roberts,12,0.0
Archie Roberts,13,0.0
Archie Roberts,14,0.0
Archie Roberts,15,0.0
Archie Roberts,16,0.0
Archie Roberts,17,0.0
Archie Roberts,18,0.0
Archie Roberts,19,0.0
Archie Roberts,20,0.0
Archie Roberts,21,0.0
Bailey Dale,13,2.0
Bailey Dale,14,0.0
Bailey Dale,15,0.0
Bailey Dale,16,0.0
Bailey Dale,17,0.0
Bailey Dale,18,0.0
Bailey Dale,19,0.0
Bailey Dale,20,0.0
Bailey Dale,21,0.0
Bailey Humphrey,0,1.0
Bailey Humphrey,1,0.0
Bailey Humphrey,2,0.0
Bailey Humphrey,3,0.0
Bailey Humphrey,4,0.0
Bailey Humphrey,5,0.0
Bailey Humphrey,6,0.0
Bailey Humphrey,7,0.0
Bailey Humphrey,8,0.0
Bailey Humphrey,9,0.0
Bailey Humphrey,10,0.0
Bailey Humphrey,11,0.0
Bailey Humphrey,12,0.0
Bailey Humphrey,13,0.0
Bailey Humphrey,14,0.0
Bailey Humphrey,15,0.0
Bailey Humphrey,16,0.0
Bailey Humphrey,17,0.0
Bailey Humphrey,18,0.0
Bailey Humphrey,19,0.0
Bailey Humphrey,20,0.0
Bailey Humphrey,21,0.0
Bailey Smith,0,0.0
Bailey Smith,1,2.0
Bailey Smith,2,0.0
Bailey Smith,3,3.0
Bailey Smith,4,2.0
Bailey Smith,5,3.0
Bailey Smith,6,2.0
Bailey Smith,7,0.0
Bailey Smith,8,0.0
Bailey Smith,9,3.0
Bailey Smith,10,2.0
Bailey Smith,11,1.0
Bailey Smith,12,1.0
Bailey Smith,13,0.0
Bailey Smith,14,1.0
Bailey Smith,15,0.0
Bailey Smith,16,0.0
Bailey Smith,17,0.0
Bailey Smith,18,0.0
Bailey Smith,19,3.0
Bailey Smith,20,2.0
Bailey Smith,21,1.0
Bailey Williams,10,2.0
Bailey Williams,11,0.0
Bailey Williams,12,0.0
Bailey Williams,13,0.0
Bailey Williams,14,0.0
Bailey Williams,15,0.0
Bailey Williams,16,0.0
Bailey Williams,17,0.0
Bailey Williams,18,0.0
Bailey Williams,19,0.0
Bailey Williams,20,0.0
Bailey Williams,21,0.0
Bayley Fritsch,17,1.0
Bayley Fritsch,18,0.0
Bayley Fritsch,19,0.0
Bayley Fritsch,20,0.0
Bayley Fritsch,21,0.0
Ben Keays,0,0.0
Ben Keays,1,0.0
Ben Keays,2,0.0
Ben Keays,3,0.0
Ben Keays,4,0.0
Ben Keays,5,0.0
Ben Keays,6,0.0
Ben Keays,7,0.0
Ben Keays,8,0.0
Ben Keays,9,0.0
Ben Keays,10,0.0
Ben Keays,11,0.0
Ben Keays,12,0.0
Ben Keays,13,0.0
Ben Keays,14,0.0
Ben Keays,15,0.0
Ben Keays,16,0.0
Ben Keays,17,0.0
Ben Keays,18,0.0
Ben Keays,19,0.0
Ben Keays,20,0.0
Ben Keays,21,0.0
Ben King,2,3.0
Ben King,3,0.0
Ben King,4,0.0
Ben King,5,0.0
Ben King,6,0.0
Ben King,7,0.0
Ben King,8,0.0
Ben King,9,0.0
Ben King,10,0.0
Ben King,11,0.0
Ben King,12,0.0
Ben King,13,0.0
Ben King,14,0.0
Ben King,15,0.0
Ben King,16,0.0
Ben King,17,0.0
Ben King,18,0.0
Ben King,19,0.0
Ben King,20,0.0
Ben King,21,0.0
Blake Hardwick,11,3.0
Blake Hardwick,12,0.0
Blake Hardwick,13,0.0
Blake Hardwick,14,0.0
Blake Hardwick,15,0.0
Blake Hardwick,16,0.0
Blake Hardwick,17,0.0
Blake Hardwick,18,1.0
Blake Hardwick,19,0.0
Blake Hardwick,20,0.0
Blake Hardwick,21,0.0
Bodhi Uwland,2,1.0
Bodhi Uwland,3,0.0
Bodhi Uwland,4,0.0
Bodhi Uwland,5,0.0
Bodhi Uwland,6,0.0
Bodhi Uwland,7,0.0
Bodhi Uwland,8,0.0
Bodhi Uwland,9,0.0
Bodhi Uwland,10,0.0
Bodhi Uwland,11,0.0
Bodhi Uwland,12,0.0
Bodhi Uwland,13,0.0
Bodhi Uwland,14,0.0
Bodhi Uwland,15,0.0
Bodhi Uwland,16,0.0
Bodhi Uwland,17,1.0
Bodhi Uwland,18,0.0
Bodhi Uwland,19,0.0
Bodhi Uwland,20,0.0
Bodhi Uwland,21,0.0
Brad Hill,17,2.0
Brad Hill,18,2.0
Brad Hill,19,0.0
Brad Hill,20,2.0
Brad Hill,21,0.0
Brent Daniels,11,1.0
Brent Daniels,12,0.0
Brent Daniels,13,0.0
Brent Daniels,14,0.0
Brent Daniels,15,0.0
Brent Daniels,16,0.0
Brent Daniels,17,0.0
Brent Daniels,18,0.0
Brent Daniels,19,0.0
Brent Daniels,20,0.0
Brent Daniels,21,0.0
Brodie Grundy,0,1.0
Brodie Grundy,1,0.0
Brodie Grundy,2,0.0
Brodie Grundy,3,0.0
Brodie Grundy,4,1.0
Brodie Grundy,5,1.0
Brodie Grundy,6,1.0
Brodie Grundy,7,0.0
Brodie Grundy,8,2.0
Brodie Grundy,9,0.0
Brodie Grundy,10,3.0
Brodie Grundy,11,0.0
Brodie Grundy,12,0.0
Brodie Grundy,13,0.0
Brodie Grundy,14,1.0
Brodie Grundy,15,0.0
Brodie Grundy,16,0.0
Brodie Grundy,17,1.0
Brodie Grundy,18,0.0
Brodie Grundy,19,0.0
Brodie Grundy,20,2.0
Brodie Grundy,21,0.0
Brodie Kemp,21,1.0
Caleb Daniel,15,2.5
Caleb Daniel,16,0.0
Caleb Daniel,17,0.0
Caleb Daniel,18,0.0
Caleb Daniel,19,0.0
Caleb Daniel,20,0.0
Caleb Daniel,21,0.0
Caleb Serong,0,0.0
Caleb Serong,1,0.0
Caleb Serong,2,0.0
Caleb Serong,3,3.0
Caleb Serong,4,3.0
Caleb Serong,5,0.0
Caleb Serong,6,0.0
Caleb Serong,7,0.0
Caleb Serong,8,0.0
Caleb Serong,9,2.5
Caleb Serong,10,0.0
Caleb Serong,11,0.0
Caleb Serong,12,0.0
Caleb Serong,13,0.0
Caleb Serong,14,0.0
Caleb Serong,15,0.0
Caleb Serong,16,0.0
Caleb Serong,17,0.0
Caleb Serong,18,0.0
Caleb Serong,19,2.5
Caleb Serong,20,0.5
Caleb Serong,21,0.0
Caleb Windsor,7,1.0
Caleb Windsor,8,0.0
Caleb Windsor,9,0.0
Caleb Windsor,10,0.0
Caleb Windsor,11,0.0
Caleb Windsor,12,0.0
Caleb Windsor,13,0.0
Caleb Windsor,14,0.0
Caleb Windsor,15,0.0
Caleb Windsor,16,0.0
Caleb Windsor,17,0.0
Caleb Windsor,18,0.0
Caleb Windsor,19,0.0
Caleb Windsor,20,0.0
Caleb Windsor,21,0.0
Callum Mills,0,0.0
Callum Mills,1,0.0
Callum Mills,2,0.0
Callum Mills,3,0.0
Callum Mills,4,0.0
Callum Mills,5,0.0
Callum Mills,6,0.0
Callum Mills,7,0.0
Callum Mills,8,0.0
Callum Mills,9,0.0
Callum Mills,10,0.0
Callum Mills,11,0.0
Callum Mills,12,0.0
Callum Mills,13,0.0
Callum Mills,14,1.0
Callum Mills,15,0.0
Callum Mills,16,0.0
Callum Mills,17,0.0
Callum Mills,18,0.0
Callum Mills,19,0.0
Callum Mills,20,0.0
Callum Mills,21,0.0
Callum Wilkie,6,2.0
Callum Wilkie,7,0.0
Callum Wilkie,8,0.0
Callum Wilkie,9,0.0
Callum Wilkie,10,0.0
Callum Wilkie,11,0.0
Callum Wilkie,12,0.0
Callum Wilkie,13,0.0
Callum Wilkie,14,0.0
Callum Wilkie,15,0.0
Callum Wilkie,16,0.0
Callum Wilkie,17,0.0
Callum Wilkie,18,1.0
Callum Wilkie,19,0.0
Callum Wilkie,20,0.0
Callum Wilkie,21,0.0
Cameron Rayner,18,1.0
Cameron Rayner,19,0.0
Cameron Rayner,20,0.0
Cameron Rayner,21,0.0
Cameron Zurhaar,6,1.0
Cameron Zurhaar,7,0.0
Cameron Zurhaar,8,0.0
Cameron Zurhaar,9,0.0
Cameron Zurhaar,10,0.0
Cameron Zurhaar,11,0.0
Cameron Zurhaar,12,0.0
Cameron Zurhaar,13,0.0
Cameron Zurhaar,14,0.0
Cameron Zurhaar,15,0.0
Cameron Zurhaar,16,0.0
Cameron Zurhaar,17,0.0
Cameron Zurhaar,18,0.0
Cameron Zurhaar,19,0.0
Cameron Zurhaar,20,0.0
Cameron Zurhaar,21,0.0
Chad Warner,0,0.0
Chad Warner,1,0.0
Chad Warner,2,1.0
Chad Warner,3,0.0
Chad Warner,4,1.0
Chad Warner,5,0.0
Chad Warner,6,0.0
Chad Warner,7,2.0
Chad Warner,8,0.0
Chad Warner,9,0.0
Chad Warner,10,0.0
Chad Warner,11,0.0
Chad Warner,12,1.0
Chad Warner,13,1.0
Chad Warner,14,1.0
Chad Warner,15,0.0
Chad Warner,16,3.0
Chad Warner,17,0.0
Chad Warner,18,0.0
Chad Warner,19,0.0
