Player,bet365,Unibet,Virgin Bet,Betway,Skybet,Paddy Power,Betfair
Nick Daicos,1.01,1.02,1.02,1.02,1.01,1.01,1.04
Marcus Bontempelli,41.0,81.0,23.0,26.0,41.0,41.0,31.0
Bailey Smith,51.0,121.0,26.0,26.0,51.0,51.0,21.0
Patrick Cripps,67.0,141.0,67.0,51.0,67.0,67.0,69.0
Will Ashcroft,81.0,181.0,67.0,67.0,81.0,81.0,127.0
Isaac Heeney,101.0,226.0,81.0,51.0,81.0,81.0,35.0
Lachie Neale,101.0,226.0,101.0,81.0,101.0,101.0,41.0
Jai Newcombe,101.0,226.0,51.0,67.0,101.0,101.0,39.0
Jordan Dawson,101.0,226.0,81.0,29.0,101.0,101.0,69.0
Nic Martin,251.0,,,,,,
Luke Jackson,151.0,301.0,126.0,81.0,151.0,151.0,2.59
Kysaiah Pickett,151.0,301.0,151.0,81.0,251.0,251.0,47.0
Harry Sheezel,151.0,301.0,101.0,101.0,251.0,251.0,74.0
Sam Walsh,501.0,501.0,251.0,,501.0,501.0,421.0
Brodie Grundy,501.0,501.0,501.0,,501.0,501.0,588.0
Max Holmes,501.0,501.0,,,151.0,151.0,980.0
Clayton Oliver,501.0,,501.0,,501.0,501.0,216.0
Andrew Brayshaw,251.0,501.0,251.0,251.0,501.0,501.0,157.0
Ed Richards,251.0,501.0,251.0,251.0,501.0,501.0,304.0
Murphy Reid,251.0,501.0,201.0,151.0,501.0,501.0,157.0
Max Gawn,251.0,501.0,251.0,251.0,251.0,251.0,196.0
Josh Rachele,501.0,501.0,,,501.0,501.0,
Shai Bolton,501.0,501.0,251.0,,251.0,251.0,108.0
Izak Rankine,501.0,501.0,,,251.0,251.0,412.0
Nick Watson,501.0,501.0,251.0,,251.0,251.0,588.0
Chad Warner,251.0,501.0,251.0,251.0,151.0,151.0,137.0
Harley Reid,501.0,501.0,501.0,,251.0,251.0,1.01
Nasiah Wanganeen-Milera,251.0,501.0,,81.0,501.0,501.0,
Noah Anderson,501.0,501.0,501.0,,501.0,501.0,294.0
Luke Davies-Uniacke,251.0,501.0,151.0,251.0,251.0,251.0,
Finn Callaghan,501.0,501.0,,,501.0,501.0,22.0
Tim Taranto,501.0,501.0,,,501.0,501.0,980.0
Christian Petracca,251.0,501.0,501.0,251.0,501.0,501.0,402.0
Matt Rowell,1001.0,501.0,501.0,,501.0,501.0,627.0
Caleb Serong,1001.0,501.0,501.0,,501.0,501.0,451.0
Zach Merrett,1001.0,501.0,,,501.0,501.0,784.0
Jordan De Goey,1501.0,501.0,,,501.0,501.0,549.0
Sam Durham,1501.0,501.0,,,501.0,501.0,980.0
Rowan Marshall,1501.0,501.0,,,501.0,501.0,980.0
Jack Gunston,1501.0,501.0,,,501.0,501.0,
Oliver Dempsey,1501.0,501.0,,,,,980.0
Tom Atkins,1501.0,501.0,,,,,980.0
Colby McKercher,1501.0,501.0,,,501.0,501.0,980.0
Hayden Young,1501.0,501.0,,,501.0,501.0,980.0
Patrick Dangerfield,1501.0,501.0,,,501.0,501.0,1.25
Jake Waterman,1501.0,501.0,,,,,
Toby Greene,1501.0,501.0,,,501.0,501.0,1.25
Jeremy Cameron,1501.0,501.0,,,501.0,501.0,980.0
Jagga Smith,1501.0,501.0,501.0,,501.0,501.0,804.0
Marcus Windhager,1501.0,501.0,,,,,980.0
Jack Ginnivan,1501.0,501.0,,,501.0,501.0,1.25
Max Hall,1501.0,501.0,,,,,
Nick Blakey,1501.0,501.0,501.0,,501.0,501.0,686.0
Charlie Curnow,1501.0,501.0,,,501.0,501.0,980.0
Callum Mills,1501.0,501.0,,,501.0,501.0,980.0
Hugh McCluggage,1501.0,501.0,,,501.0,501.0,245.0
George Hewett,1501.0,501.0,,,501.0,501.0,980.0
Darcy Parish,1501.0,501.0,,,501.0,501.0,980.0
Gryan Miers,1501.0,501.0,,,,,980.0
Bailey Dale,1501.0,501.0,,,,,
Caleb Daniel,2001.0,,,,,,
Levi Ashcroft,2001.0,501.0,,,501.0,501.0,588.0
Rhylee West,2001.0,501.0,,,,,
Tanner Bruhn,2001.0,,,,,,
Lawson Humphries,2001.0,,,,,,
Tom McCarthy,2001.0,,,,501.0,501.0,
Ben Keays,2001.0,501.0,,,,,
Matthew Kennedy,2001.0,501.0,,,,,
Josh Dunkley,2001.0,501.0,,,501.0,501.0,980.0
Rory Laird,2001.0,501.0,,,,,980.0
Mark Blicavs,2001.0,501.0,,,,,
Josh Daicos,2001.0,501.0,,,501.0,501.0,980.0
Jaspa Fletcher,2001.0,501.0,,,501.0,501.0,980.0
Joel Freijah,2001.0,501.0,,,501.0,501.0,980.0
Dion Prestia,2001.0,501.0,,,,,
Cam Rayner,2001.0,501.0,,,501.0,501.0,980.0
Jake Soligo,2001.0,501.0,,,,,980.0
Ollie Wines,2001.0,501.0,,,501.0,501.0,980.0
Adam Cerra,2001.0,501.0,,,501.0,501.0,980.0
Jack Sinclair,2001.0,501.0,,,501.0,501.0,980.0
Darcy Cameron,2001.0,501.0,,,,,
Marc Pittonet,2001.0,501.0,,,,,
Tom Stewart,2001.0,501.0,,,,,
Daniel Rioli,2001.0,501.0,,,,,
Jordan Clark,2001.0,501.0,501.0,,,,980.0
James Worpel,2001.0,501.0,,,501.0,501.0,980.0
Josh Ward,2001.0,501.0,,,501.0,501.0,980.0
Lachlan Ash,2001.0,501.0,,,,,
Jack Crisp,2001.0,501.0,,,,,
Tom Liberatore,2001.0,501.0,,,501.0,501.0,980.0
Scott Pendlebury,2001.0,501.0,,,,,1.25
Touk Miller,2001.0,501.0,,,501.0,501.0,980.0
Jake Stringer,2001.0,501.0,,,,,
Sam Switkowski,2001.0,501.0,,,,,
Will Day,,,,,501.0,501.0,1.25
Miles Bergman,,,,,501.0,501.0,1.25
Zak Butters,,,,,501.0,501.0,25.0
Harvey Langford,,,,,501.0,501.0,490.0
Jack Steele,,,501.0,,501.0,501.0,588.0
Errol Gulden,,,,,19.0,18.0,784.0
Connor Rozee,,,,,,,980.0
Jye Caldwell,,,,,,,980.0
Tim English,,,,,501.0,501.0,980.0
Samuel Lalor,,,,,501.0,501.0,980.0
Liam Baker,,,,,,,980.0
Sam Darcy,,,,,501.0,501.0,980.0
Josh Weddle,,,,,501.0,501.0,980.0
Sam Flanders,,,,,501.0,501.0,980.0
Tom Green,,,,,,,980.0
Daniel Curtin,,,,,501.0,501.0,980.0
Tom De Koning,,,,,501.0,501.0,980.0
Dan Houston,,,,,501.0,501.0,980.0
Dayne Zorko,,,,,501.0,501.0,980.0
Jacob Hopper,,,,,501.0,501.0,980.0
