player,bookie,odds,scraped_at
Nick Daicos,bet365,1.2,2026-07-28 12:52
Marcus Bontempelli,bet365,12.0,2026-07-28 12:52
Bailey Smith,bet365,21.0,2026-07-28 12:52
Jordan Dawson,bet365,23.0,2026-07-28 12:52
Luke Jackson,bet365,51.0,2026-07-28 12:52
Isaac Heeney,bet365,26.0,2026-07-28 12:52
Kysaiah Pickett,bet365,41.0,2026-07-28 12:52
Patrick Cripps,bet365,41.0,2026-07-28 12:52
Lachie Neale,bet365,51.0,2026-07-28 12:52
Jai Newcombe,bet365,81.0,2026-07-28 12:52
Harry Sheezel,bet365,101.0,2026-07-28 12:52
Will Ashcroft,bet365,151.0,2026-07-28 12:52
Nasiah Wanganeen-Milera,bet365,151.0,2026-07-28 12:52
Andrew Brayshaw,bet365,251.0,2026-07-28 12:52
Ed Richards,bet365,251.0,2026-07-28 12:52
Murphy Reid,bet365,251.0,2026-07-28 12:52
Max Gawn,bet365,251.0,2026-07-28 12:52
Nic Martin,bet365,251.0,2026-07-28 12:52
Chad Warner,bet365,251.0,2026-07-28 12:52
Luke Davies-Uniacke,bet365,251.0,2026-07-28 12:52
Christian Petracca,bet365,251.0,2026-07-28 12:52
Sam Walsh,bet365,501.0,2026-07-28 12:52
Brodie Grundy,bet365,501.0,2026-07-28 12:52
Max Holmes,bet365,501.0,2026-07-28 12:52
Clayton Oliver,bet365,501.0,2026-07-28 12:52
Josh Rachele,bet365,501.0,2026-07-28 12:52
Shai Bolton,bet365,501.0,2026-07-28 12:52
Izak Rankine,bet365,501.0,2026-07-28 12:52
Nick Watson,bet365,501.0,2026-07-28 12:52
Harley Reid,bet365,501.0,2026-07-28 12:52
Noah Anderson,bet365,501.0,2026-07-28 12:52
Finn Callaghan,bet365,501.0,2026-07-28 12:52
Tim Taranto,bet365,501.0,2026-07-28 12:52
Matt Rowell,bet365,1001.0,2026-07-28 12:52
Caleb Serong,bet365,1001.0,2026-07-28 12:52
Zach Merrett,bet365,1001.0,2026-07-28 12:52
Jordan De Goey,bet365,1501.0,2026-07-28 12:52
Sam Durham,bet365,1501.0,2026-07-28 12:52
Rowan Marshall,bet365,1501.0,2026-07-28 12:52
Jack Gunston,bet365,1501.0,2026-07-28 12:52
Oliver Dempsey,bet365,1501.0,2026-07-28 12:52
Tom Atkins,bet365,1501.0,2026-07-28 12:52
Colby McKercher,bet365,1501.0,2026-07-28 12:52
Hayden Young,bet365,1501.0,2026-07-28 12:52
Patrick Dangerfield,bet365,1501.0,2026-07-28 12:52
Jake Waterman,bet365,1501.0,2026-07-28 12:52
Toby Greene,bet365,1501.0,2026-07-28 12:52
Jeremy Cameron,bet365,1501.0,2026-07-28 12:52
Jagga Smith,bet365,1501.0,2026-07-28 12:52
Marcus Windhager,bet365,1501.0,2026-07-28 12:52
Jack Ginnivan,bet365,1501.0,2026-07-28 12:52
Max Hall,bet365,1501.0,2026-07-28 12:52
Nick Blakey,bet365,1501.0,2026-07-28 12:52
Charlie Curnow,bet365,1501.0,2026-07-28 12:52
Callum Mills,bet365,1501.0,2026-07-28 12:52
Hugh McCluggage,bet365,1501.0,2026-07-28 12:52
George Hewett,bet365,1501.0,2026-07-28 12:52
Darcy Parish,bet365,1501.0,2026-07-28 12:52
Gryan Miers,bet365,1501.0,2026-07-28 12:52
Bailey Dale,bet365,1501.0,2026-07-28 12:52
Caleb Daniel,bet365,2001.0,2026-07-28 12:52
Levi Ashcroft,bet365,2001.0,2026-07-28 12:52
Rhylee West,bet365,2001.0,2026-07-28 12:52
Tanner Bruhn,bet365,2001.0,2026-07-28 12:52
Lawson Humphries,bet365,2001.0,2026-07-28 12:52
Tom McCarthy,bet365,2001.0,2026-07-28 12:52
Ben Keays,bet365,2001.0,2026-07-28 12:52
Matthew Kennedy,bet365,2001.0,2026-07-28 12:52
Josh Dunkley,bet365,2001.0,2026-07-28 12:52
Rory Laird,bet365,2001.0,2026-07-28 12:52
Mark Blicavs,bet365,2001.0,2026-07-28 12:52
Josh Daicos,bet365,2001.0,2026-07-28 12:52
Jaspa Fletcher,bet365,2001.0,2026-07-28 12:52
Joel Freijah,bet365,2001.0,2026-07-28 12:52
Dion Prestia,bet365,2001.0,2026-07-28 12:52
Cam Rayner,bet365,2001.0,2026-07-28 12:52
Jake Soligo,bet365,2001.0,2026-07-28 12:52
Ollie Wines,bet365,2001.0,2026-07-28 12:52
Adam Cerra,bet365,2001.0,2026-07-28 12:52
Jack Sinclair,bet365,2001.0,2026-07-28 12:52
Darcy Cameron,bet365,2001.0,2026-07-28 12:52
Marc Pittonet,bet365,2001.0,2026-07-28 12:52
Tom Stewart,bet365,2001.0,2026-07-28 12:52
Daniel Rioli,bet365,2001.0,2026-07-28 12:52
Jordan Clark,bet365,2001.0,2026-07-28 12:52
James Worpel,bet365,2001.0,2026-07-28 12:52
Josh Ward,bet365,2001.0,2026-07-28 12:52
Lachlan Ash,bet365,2001.0,2026-07-28 12:52
Jack Crisp,bet365,2001.0,2026-07-28 12:52
Tom Liberatore,bet365,2001.0,2026-07-28 12:52
Scott Pendlebury,bet365,2001.0,2026-07-28 12:52
Touk Miller,bet365,2001.0,2026-07-28 12:52
Jake Stringer,bet365,2001.0,2026-07-28 12:52
Sam Switkowski,bet365,2001.0,2026-07-28 12:52
Liam Baker,bet365,1001.0,2026-07-28 12:52
Nick Daicos,Unibet,1.2,2026-07-28 12:52
Marcus Bontempelli,Unibet,12.0,2026-07-28 12:52
Bailey Smith,Unibet,21.0,2026-07-28 12:52
Jordan Dawson,Unibet,23.0,2026-07-28 12:52
Luke Jackson,Unibet,51.0,2026-07-28 12:52
Isaac Heeney,Unibet,26.0,2026-07-28 12:52
Kysaiah Pickett,Unibet,41.0,2026-07-28 12:52
Patrick Cripps,Unibet,41.0,2026-07-28 12:52
Lachie Neale,Unibet,51.0,2026-07-28 12:52
Jai Newcombe,Unibet,81.0,2026-07-28 12:52
Harry Sheezel,Unibet,101.0,2026-07-28 12:52
Will Ashcroft,Unibet,151.0,2026-07-28 12:52
Nasiah Wanganeen-Milera,Unibet,151.0,2026-07-28 12:52
Andrew Brayshaw,Unibet,251.0,2026-07-28 12:52
Ed Richards,Unibet,251.0,2026-07-28 12:52
Murphy Reid,Unibet,251.0,2026-07-28 12:52
Max Gawn,Unibet,251.0,2026-07-28 12:52
Chad Warner,Unibet,251.0,2026-07-28 12:52
Luke Davies-Uniacke,Unibet,251.0,2026-07-28 12:52
Christian Petracca,Unibet,251.0,2026-07-28 12:52
Sam Walsh,Unibet,501.0,2026-07-28 12:52
Brodie Grundy,Unibet,501.0,2026-07-28 12:52
Max Holmes,Unibet,501.0,2026-07-28 12:52
Josh Rachele,Unibet,501.0,2026-07-28 12:52
Shai Bolton,Unibet,501.0,2026-07-28 12:52
Izak Rankine,Unibet,501.0,2026-07-28 12:52
Nick Watson,Unibet,501.0,2026-07-28 12:52
Harley Reid,Unibet,501.0,2026-07-28 12:52
Noah Anderson,Unibet,501.0,2026-07-28 12:52
Finn Callaghan,Unibet,501.0,2026-07-28 12:52
Tim Taranto,Unibet,501.0,2026-07-28 12:52
Matt Rowell,Unibet,501.0,2026-07-28 12:52
Caleb Serong,Unibet,501.0,2026-07-28 12:52
Zach Merrett,Unibet,501.0,2026-07-28 12:52
Jordan De Goey,Unibet,501.0,2026-07-28 12:52
Sam Durham,Unibet,501.0,2026-07-28 12:52
Rowan Marshall,Unibet,501.0,2026-07-28 12:52
Jack Gunston,Unibet,501.0,2026-07-28 12:52
Oliver Dempsey,Unibet,501.0,2026-07-28 12:52
Tom Atkins,Unibet,501.0,2026-07-28 12:52
Colby McKercher,Unibet,501.0,2026-07-28 12:52
Hayden Young,Unibet,501.0,2026-07-28 12:52
Patrick Dangerfield,Unibet,501.0,2026-07-28 12:52
Jake Waterman,Unibet,501.0,2026-07-28 12:52
Toby Greene,Unibet,501.0,2026-07-28 12:52
Jeremy Cameron,Unibet,501.0,2026-07-28 12:52
Jagga Smith,Unibet,501.0,2026-07-28 12:52
Marcus Windhager,Unibet,501.0,2026-07-28 12:52
Jack Ginnivan,Unibet,501.0,2026-07-28 12:52
Max Hall,Unibet,501.0,2026-07-28 12:52
Nick Blakey,Unibet,501.0,2026-07-28 12:52
Charlie Curnow,Unibet,501.0,2026-07-28 12:52
Callum Mills,Unibet,501.0,2026-07-28 12:52
Hugh McCluggage,Unibet,501.0,2026-07-28 12:52
George Hewett,Unibet,501.0,2026-07-28 12:52
Darcy Parish,Unibet,501.0,2026-07-28 12:52
Gryan Miers,Unibet,501.0,2026-07-28 12:52
Bailey Dale,Unibet,501.0,2026-07-28 12:52
Levi Ashcroft,Unibet,501.0,2026-07-28 12:52
Rhylee West,Unibet,501.0,2026-07-28 12:52
Ben Keays,Unibet,501.0,2026-07-28 12:52
Matthew Kennedy,Unibet,501.0,2026-07-28 12:52
Josh Dunkley,Unibet,501.0,2026-07-28 12:52
Rory Laird,Unibet,501.0,2026-07-28 12:52
Mark Blicavs,Unibet,501.0,2026-07-28 12:52
Josh Daicos,Unibet,501.0,2026-07-28 12:52
Jaspa Fletcher,Unibet,501.0,2026-07-28 12:52
Joel Freijah,Unibet,501.0,2026-07-28 12:52
Dion Prestia,Unibet,501.0,2026-07-28 12:52
Cam Rayner,Unibet,501.0,2026-07-28 12:52
Jake Soligo,Unibet,501.0,2026-07-28 12:52
Ollie Wines,Unibet,501.0,2026-07-28 12:52
Adam Cerra,Unibet,501.0,2026-07-28 12:52
Jack Sinclair,Unibet,501.0,2026-07-28 12:52
Darcy Cameron,Unibet,501.0,2026-07-28 12:52
Marc Pittonet,Unibet,501.0,2026-07-28 12:52
Tom Stewart,Unibet,501.0,2026-07-28 12:52
Daniel Rioli,Unibet,501.0,2026-07-28 12:52
Jordan Clark,Unibet,501.0,2026-07-28 12:52
James Worpel,Unibet,501.0,2026-07-28 12:52
Josh Ward,Unibet,501.0,2026-07-28 12:52
Lachlan Ash,Unibet,501.0,2026-07-28 12:52
Jack Crisp,Unibet,501.0,2026-07-28 12:52
Tom Liberatore,Unibet,501.0,2026-07-28 12:52
Scott Pendlebury,Unibet,501.0,2026-07-28 12:52
Touk Miller,Unibet,501.0,2026-07-28 12:52
Jake Stringer,Unibet,501.0,2026-07-28 12:52
Sam Switkowski,Unibet,501.0,2026-07-28 12:52
Liam Baker,Unibet,501.0,2026-07-28 12:52
Nick Daicos,BetMGM UK,1.2,2026-07-28 12:52
Marcus Bontempelli,BetMGM UK,10.0,2026-07-28 12:52
Bailey Smith,BetMGM UK,23.0,2026-07-28 12:52
Jordan Dawson,BetMGM UK,23.0,2026-07-28 12:52
Luke Jackson,BetMGM UK,51.0,2026-07-28 12:52
Isaac Heeney,BetMGM UK,51.0,2026-07-28 12:52
Kysaiah Pickett,BetMGM UK,51.0,2026-07-28 12:52
Patrick Cripps,BetMGM UK,51.0,2026-07-28 12:52
Lachie Neale,BetMGM UK,81.0,2026-07-28 12:52
Jai Newcombe,BetMGM UK,67.0,2026-07-28 12:52
Harry Sheezel,BetMGM UK,101.0,2026-07-28 12:52
Will Ashcroft,BetMGM UK,151.0,2026-07-28 12:52
Nasiah Wanganeen-Milera,BetMGM UK,101.0,2026-07-28 12:52
Andrew Brayshaw,BetMGM UK,201.0,2026-07-28 12:52
Ed Richards,BetMGM UK,251.0,2026-07-28 12:52
Murphy Reid,BetMGM UK,151.0,2026-07-28 12:52
Max Gawn,BetMGM UK,251.0,2026-07-28 12:52
Chad Warner,BetMGM UK,251.0,2026-07-28 12:52
Luke Davies-Uniacke,BetMGM UK,251.0,2026-07-28 12:52
Christian Petracca,BetMGM UK,151.0,2026-07-28 12:52
Sam Walsh,BetMGM UK,251.0,2026-07-28 12:52
Brodie Grundy,BetMGM UK,501.0,2026-07-28 12:52
Josh Treacy,BetMGM UK,501.0,2026-07-28 12:52
Matthew Rowell,BetMGM UK,501.0,2026-07-28 12:52
Clayton Oliver,BetMGM UK,151.0,2026-07-28 12:52
Shai Bolton,BetMGM UK,251.0,2026-07-28 12:52
Nick Watson,BetMGM UK,251.0,2026-07-28 12:52
Harley Reid,BetMGM UK,501.0,2026-07-28 12:52
Noah Anderson,BetMGM UK,501.0,2026-07-28 12:52
Finn Callaghan,BetMGM UK,501.0,2026-07-28 12:52
