Player,Round,Vote
Aaron Naughton,1,2.0
Aaron Naughton,18,1.5
Adam Cerra,18,1.0
Alex Neal-Bullen,1,1.0
Alex Pearce,5,1.0
Aliir Aliir,2,1.0
Aliir Aliir,4,3.0
Aliir Aliir,8,1.5
Andrew Brayshaw,2,2.0
Andrew Brayshaw,7,0.5
Andrew Brayshaw,13,1.5
Andrew Brayshaw,15,2.0
Andrew Brayshaw,16,3.0
Andrew Brayshaw,18,1.5
Andrew Brayshaw,19,1.5
Archie Roberts,4,1.0
Archie Roberts,5,3.0
Archie Roberts,9,1.5
Bailey Dale,13,1.0
Bailey Dale,17,1.5
Bailey Smith,3,3.0
Bailey Smith,4,2.0
Bailey Smith,5,3.0
Bailey Smith,6,2.0
Bailey Smith,9,3.0
Bailey Smith,10,2.0
Bailey Smith,11,1.5
Bailey Smith,12,1.5
Bailey Smith,13,1.0
Bailey Smith,14,2.0
Bailey Smith,18,0.5
Bailey Smith,19,2.0
Bailey Williams,2,0.5
Bailey Williams,10,1.0
Bailey Williams,11,1.0
Bailey Williams,19,0.5
Bayley Fritsch,17,0.5
Bayley Fritsch,20,1.0
Ben Ainsworth,16,2.0
Ben King,2,3.0
Ben Long,15,0.5
Blake Hardwick,11,2.0
Bodhi Uwland,2,1.5
Bodhi Uwland,9,1.0
Brad Hill,17,1.5
Brad Hill,18,2.5
Brad Hill,20,1.0
Brent Daniels,11,1.5
Brent Daniels,14,1.0
Brodie Grundy,4,1.0
Brodie Grundy,5,1.0
Brodie Grundy,6,1.5
Brodie Grundy,8,1.5
Brodie Grundy,10,3.0
Brodie Grundy,17,1.0
Brodie Grundy,20,0.5
Caleb Daniel,4,2.5
Caleb Daniel,15,2.0
Caleb Daniel,16,0.5
Caleb Serong,3,3.0
Caleb Serong,4,2.0
Caleb Serong,9,1.0
Caleb Serong,18,0.5
Caleb Serong,19,1.5
Caleb Serong,20,1.0
Callum Mills,14,1.5
Callum Wilkie,6,1.5
Callum Wilkie,18,1.0
Cam Mackenzie,16,0.5
Cam Rayner,18,0.5
Chad Warner,2,1.0
Chad Warner,4,1.0
Chad Warner,7,0.5
Chad Warner,12,1.5
Chad Warner,13,2.0
Chad Warner,14,1.0
Chad Warner,16,3.0
Chad Warner,19,1.5
Chad Warner,20,0.5
Charlie Cameron,0,0.5
Charlie Curnow,7,3.0
Charlie Curnow,12,1.5
Charlie Curnow,17,3.0
Charlie Curnow,18,0.5
Christian Petracca,0,3.0
Christian Petracca,1,3.0
Christian Petracca,6,2.5
Christian Petracca,7,0.5
Christian Petracca,8,3.0
Christian Petracca,10,1.0
Christian Petracca,11,1.0
Clayton Oliver,0,1.5
Clayton Oliver,3,1.0
Clayton Oliver,5,1.0
Clayton Oliver,6,1.5
Clayton Oliver,8,1.0
Clayton Oliver,10,2.0
Clayton Oliver,11,1.0
Clayton Oliver,17,1.0
Clayton Oliver,18,3.0
Colby Mckercher,3,1.0
Connor Macdonald,1,1.5
Connor Macdonald,4,1.5
Connor Macdonald,8,2.0
Connor Macdonald,18,1.0
Cooper Sharman,8,1.5
Cooper Trembath,15,2.5
Dan Houston,8,2.0
Daniel Rioli,9,0.5
Darcy Cameron,11,2.0
Darcy Cameron,18,1.5
Darcy Cameron,20,2.0
Darcy Fogarty,16,1.0
Darcy Fogarty,17,1.0
Darcy Fogarty,19,1.5
Darcy Parish,5,1.0
Darcy Parish,6,0.5
Darcy Parish,11,2.5
Darcy Wilmot,6,1.0
Darcy Wilmot,8,1.0
Darcy Wilson,20,1.0
Dayne Zorko,18,0.5
Dylan Moore,2,1.0
Dylan Moore,10,1.0
Dylan Moore,18,0.5
Dylan Stephens,1,2.5
Dyson Sharp,19,1.0
Ed Langdon,9,2.5
Ed Richards,0,3.0
Ed Richards,9,1.5
Ed Richards,11,3.0
Ed Richards,12,1.5
Ed Richards,13,1.0
Ed Richards,14,1.0
Ed Richards,18,2.0
Ed Richards,20,3.0
Errol Gulden,0,2.0
Errol Gulden,1,1.0
Errol Gulden,20,3.0
Finn Callaghan,0,1.5
Finn Callaghan,5,3.0
Finn Callaghan,8,1.0
Finn Callaghan,9,1.0
Finn Callaghan,12,3.0
Finn Callaghan,16,0.5
Finn Callaghan,19,1.0
George Hewett,11,1.0
George Hewett,13,1.5
George Hewett,15,2.0
George Hewett,17,2.5
Gryan Miers,19,2.0
Harley Reid,2,2.5
