Team,Player_fw,Contested_Possessions_fw,Uncontested_Possessions_fw,Effective_Disposals,Disposal_Efficiency_Pct,Contested_Marks_fw,Goal_Assists_fw,Marks_Inside_50_fw,One_Percenters_fw,Bounces_fw,Time_On_Ground_Pct,Season,Round_fw,Date,mid
Carlton,Marc Murphy,16,15,18,58.1,0,0,1,0,2,83,2011,Round 1,2011-03-24,5147
Carlton,Bryce Gibbs,5,23,24,82.8,0,3,1,0,0,76,2011,Round 1,2011-03-24,5147
Carlton,Mitch Robinson,15,15,22,75.9,1,0,0,1,0,81,2011,Round 1,2011-03-24,5147
Carlton,Kade Simpson,5,24,23,82.1,0,1,0,2,0,88,2011,Round 1,2011-03-24,5147
Carlton,Chris Judd,14,10,19,76.0,0,0,1,2,0,81,2011,Round 1,2011-03-24,5147
Carlton,Heath Scotland,6,18,18,75.0,0,0,0,5,0,85,2011,Round 1,2011-03-24,5147
Carlton,Andrew Carrazzo,7,17,17,70.8,0,0,1,0,0,83,2011,Round 1,2011-03-24,5147
Carlton,Edward Curnow,8,16,17,70.8,0,0,1,2,0,77,2011,Round 1,2011-03-24,5147
Carlton,Jordan Russell,7,15,17,77.3,0,0,0,1,0,85,2011,Round 1,2011-03-24,5147
Carlton,Edward Betts,10,7,11,64.7,0,3,2,0,0,91,2011,Round 1,2011-03-24,5147
Carlton,Robert Warnock,14,3,11,64.7,2,0,1,1,0,88,2011,Round 1,2011-03-24,5147
Carlton,Andrew Walker,5,8,9,56.2,0,1,2,1,0,86,2011,Round 1,2011-03-24,5147
Carlton,Bret Thornton,3,11,11,78.6,1,0,0,3,1,100,2011,Round 1,2011-03-24,5147
Carlton,Jeremy Laidler,7,7,10,76.9,0,0,0,8,0,86,2011,Round 1,2011-03-24,5147
Carlton,Nicholas Duigan,3,10,10,76.9,0,0,0,4,0,89,2011,Round 1,2011-03-24,5147
Carlton,Jeff Gartlett,5,4,3,33.3,1,0,2,2,0,90,2011,Round 1,2011-03-24,5147
Carlton,Dennis Armfield,3,6,7,87.5,0,0,0,2,0,75,2011,Round 1,2011-03-24,5147
Carlton,Simon White,3,3,8,100.0,1,1,0,3,0,94,2011,Round 1,2011-03-24,5147
Carlton,Shaun Hampson,4,3,2,28.6,3,0,3,1,0,90,2011,Round 1,2011-03-24,5147
Carlton,Kane Lucas,3,4,5,71.4,0,0,0,1,0,47,2011,Round 1,2011-03-24,5147
Carlton,Jarrad Waite,2,2,3,75.0,0,0,1,0,0,35,2011,Round 1,2011-03-24,5147
Carlton,Christopher Yarran,3,3,3,75.0,0,0,0,1,0,92,2011,Round 1,2011-03-24,5147
Richmond,Chris Newman,6,11,22,95.7,2,0,0,6,2,92,2011,Round 1,2011-03-24,5147
Richmond,Shaun Grigg,6,16,16,69.6,0,1,0,0,0,81,2011,Round 1,2011-03-24,5147
Richmond,Daniel Jackson,12,10,11,50.0,0,1,1,2,0,75,2011,Round 1,2011-03-24,5147
Richmond,Trent Cotchin,12,9,13,59.1,0,1,0,4,1,82,2011,Round 1,2011-03-24,5147
Richmond,Brett Deledio,4,13,15,78.9,1,0,0,5,0,93,2011,Round 1,2011-03-24,5147
Richmond,Alex Rance,8,12,14,73.7,0,0,0,7,0,100,2011,Round 1,2011-03-24,5147
Richmond,Bachar Houli,3,16,13,72.2,1,0,0,1,0,76,2011,Round 1,2011-03-24,5147
Richmond,Dustin Martin,6,12,14,77.8,0,2,0,0,0,77,2011,Round 1,2011-03-24,5147
