Team,Player_fw,Contested_Possessions_fw,Uncontested_Possessions_fw,Effective_Disposals,Disposal_Efficiency_Pct,Contested_Marks_fw,Goal_Assists_fw,Marks_Inside_50_fw,One_Percenters_fw,Bounces_fw,Centre_Clearances,Stoppage_Clearances,Score_Involvements_Actual,Metres_Gained,Turnovers,Intercepts,Tackles_Inside_50,Time_On_Ground_Pct,Season,Round_fw,Date,mid
Richmond,Jack Graham,8,26,26,78.8,0,1,0,0,0,2,3,7,836,7,2,0,76,2021,Round 1,2021-03-18,10327
Richmond,Dustin Martin,14,16,21,67.7,2,4,5,2,0,2,3,12,619,4,2,0,89,2021,Round 1,2021-03-18,10327
Richmond,Kane Lambert,6,20,18,64.3,0,1,2,0,0,0,1,8,339,6,1,0,85,2021,Round 1,2021-03-18,10327
Richmond,Shane Edwards,12,13,21,77.8,0,1,0,3,0,1,2,8,283,2,10,0,81,2021,Round 1,2021-03-18,10327
Richmond,Dion Prestia,12,13,17,68.0,0,0,0,1,1,3,6,9,380,5,2,0,74,2021,Round 1,2021-03-18,10327
Richmond,Shai Bolton,14,10,16,64.0,0,1,0,0,2,6,3,7,554,3,0,0,79,2021,Round 1,2021-03-18,10327
Richmond,Jayden Short,2,12,18,78.3,1,0,0,2,0,0,0,3,716,2,2,0,88,2021,Round 1,2021-03-18,10327
Richmond,Josh Caddy,4,13,11,64.7,0,0,0,2,0,0,0,3,449,4,2,0,79,2021,Round 1,2021-03-18,10327
Richmond,Liam Baker,6,9,11,73.3,0,1,0,3,1,0,0,2,185,4,5,0,78,2021,Round 1,2021-03-18,10327
Richmond,Kamdyn Mcintosh,10,5,8,61.5,0,0,0,4,4,0,2,2,454,3,6,0,88,2021,Round 1,2021-03-18,10327
Richmond,Jason Castagna,2,9,7,53.8,0,0,2,3,2,0,0,4,188,3,0,0,84,2021,Round 1,2021-03-18,10327
Richmond,Marlion Pickett,8,7,9,69.2,0,0,0,5,0,0,0,1,276,3,7,0,79,2021,Round 1,2021-03-18,10327
Richmond,Toby Nankervis,6,5,7,58.3,0,0,0,7,0,2,1,4,84,3,2,0,75,2021,Round 1,2021-03-18,10327
Richmond,Jake Aarts,4,8,11,91.7,0,0,0,1,1,0,0,6,172,1,1,2,78,2021,Round 1,2021-03-18,10327
Richmond,Thomas Lynch,4,7,6,54.5,0,0,2,2,0,0,0,4,183,5,0,0,92,2021,Round 1,2021-03-18,10327
Richmond,Nick Vlastuin,3,4,9,81.8,1,0,0,2,0,0,0,1,259,3,5,0,56,2021,Round 1,2021-03-18,10327
Richmond,Noah Balta,6,6,8,72.7,2,0,0,6,0,2,0,4,319,2,7,0,84,2021,Round 1,2021-03-18,10327
Richmond,Jack Riewoldt,6,4,6,60.0,1,0,3,0,0,0,0,8,349,2,2,3,90,2021,Round 1,2021-03-18,10327
Richmond,Dylan Grimes,6,2,8,80.0,0,0,0,2,0,0,0,2,67,0,8,0,92,2021,Round 1,2021-03-18,10327
Richmond,Daniel Rioli,2,9,7,70.0,0,0,2,2,0,0,0,6,159,3,0,1,72,2021,Round 1,2021-03-18,10327
Richmond,David Astbury,4,6,8,88.9,0,1,0,4,0,0,0,3,183,3,4,0,88,2021,Round 1,2021-03-18,10327
Richmond,Nathan Broad,5,5,9,100.0,0,0,0,6,0,0,0,4,120,0,5,0,70,2021,Round 1,2021-03-18,10327
Richmond,Jack Ross,2,7,6,75.0,0,1,0,0,0,1,0,6,200,1,0,0,23,2021,Round 1,2021-03-18,10327
Carlton,Sam Walsh,13,18,27,87.1,0,1,1,1,1,3,3,7,389,3,3,1,82,2021,Round 1,2021-03-18,10327
Carlton,Edward Curnow,14,14,16,55.2,1,1,0,2,0,1,6,6,319,6,4,0,75,2021,Round 1,2021-03-18,10327
Carlton,Patrick Cripps,13,15,19,67.9,0,1,0,2,0,2,3,10,252,3,0,0,91,2021,Round 1,2021-03-18,10327
Carlton,Jack Newnes,12,15,23,85.2,0,0,0,1,0,0,2,7,338,3,8,0,85,2021,Round 1,2021-03-18,10327
Carlton,Adam Saad,10,13,20,80.0,1,0,0,2,4,1,1,3,352,4,8,0,83,2021,Round 1,2021-03-18,10327
Carlton,Sam Docherty,5,13,18,75.0,0,0,0,2,1,0,1,3,740,9,6,0,91,2021,Round 1,2021-03-18,10327
Carlton,Zac Fisher,10,13,13,65.0,2,1,1,1,0,1,0,8,281,4,1,0,79,2021,Round 1,2021-03-18,10327
Carlton,Lachlan Fogarty,8,12,15,75.0,0,0,0,2,0,0,0,8,284,6,3,0,75,2021,Round 1,2021-03-18,10327
Carlton,Paddy Dow,8,10,11,61.1,0,1,0,1,0,0,1,7,352,6,0,0,69,2021,Round 1,2021-03-18,10327
Carlton,Will Setterfield,4,13,15,88.2,0,1,1,0,1,0,2,5,305,1,2,0,75,2021,Round 1,2021-03-18,10327
Carlton,Sam Petrevski Seton,3,11,12,80.0,0,0,0,2,0,0,1,5,311,2,3,0,74,2021,Round 1,2021-03-18,10327
Carlton,Michael Gibbons,3,12,12,80.0,0,1,0,1,0,1,0,8,244,3,1,0,69,2021,Round 1,2021-03-18,10327
Carlton,Jacob Weitering,3,5,12,85.7,1,0,0,11,2,0,1,1,409,3,3,0,90,2021,Round 1,2021-03-18,10327
Carlton,Tom Williamson,3,10,9,75.0,0,1,0,1,0,0,0,6,279,2,4,0,81,2021,Round 1,2021-03-18,10327
Carlton,Marc Murphy,2,9,9,81.8,0,1,0,0,0,0,0,5,240,1,0,0,76,2021,Round 1,2021-03-18,10327
Carlton,Liam Jones,6,4,6,60.0,0,0,0,7,0,0,1,1,173,3,8,0,98,2021,Round 1,2021-03-18,10327
Carlton,Harry Mckay,6,4,5,50.0,3,1,5,0,0,0,0,8,157,0,0,0,90,2021,Round 1,2021-03-18,10327
Carlton,Lachlan Plowman,2,6,9,100.0,0,0,0,6,0,0,0,3,171,1,7,0,84,2021,Round 1,2021-03-18,10327
Carlton,Oscar Mcdonald,4,5,6,66.7,0,0,1,2,0,0,0,5,299,2,2,0,49,2021,Round 1,2021-03-18,10327
Carlton,Marc Pittonet,2,5,7,77.8,0,0,0,5,0,0,2,5,70,0,3,0,87,2021,Round 1,2021-03-18,10327
Carlton,Lochie O Brien,3,7,7,77.8,0,0,0,1,1,0,0,3,208,6,2,0,74,2021,Round 1,2021-03-18,10327
Carlton,Levi Casboult,5,5,4,50.0,2,0,1,1,0,1,0,4,122,4,1,1,85,2021,Round 1,2021-03-18,10327
Carlton,Jack Silvagni,0,6,6,85.7,0,0,0,1,0,0,0,3,218,1,0,0,40,2021,Round 1,2021-03-18,10327
Collingwood,Scott Pendlebury,13,13,18,72.0,1,2,0,2,3,1,3,7,570,6,7,1,77,2021,Round 1,2021-03-19,10328
Collingwood,Jack Crisp,9,13,17,73.9,0,0,0,1,0,2,2,5,529,6,7,0,90,2021,Round 1,2021-03-19,10328
Collingwood,John Noble,9,14,17,77.3,0,0,0,0,0,0,2,2,245,1,6,0,84,2021,Round 1,2021-03-19,10328
Collingwood,Brayden Maynard,6,14,18,85.7,0,0,0,5,1,0,0,6,685,6,6,0,90,2021,Round 1,2021-03-19,10328
Collingwood,Taylor Adams,9,10,12,60.0,0,0,0,0,0,3,5,4,267,7,0,2,81,2021,Round 1,2021-03-19,10328
Collingwood,Jack Madgen,5,14,15,78.9,0,0,0,2,0,0,0,3,242,4,6,0,85,2021,Round 1,2021-03-19,10328
Collingwood,Darcy Moore,9,8,17,94.4,6,0,0,8,1,0,0,4,347,3,9,0,96,2021,Round 1,2021-03-19,10328
Collingwood,Jordan De Goey,7,9,9,56.2,0,2,0,0,0,0,4,9,309,4,1,0,87,2021,Round 1,2021-03-19,10328
Collingwood,Mason Cox,9,4,8,53.3,4,0,2,1,0,1,1,4,204,6,0,0,80,2021,Round 1,2021-03-19,10328
Collingwood,Jordan Roughead,8,6,10,71.4,2,0,0,7,0,0,0,3,311,7,8,0,96,2021,Round 1,2021-03-19,10328
