Season,Round_num,ID,Score_Involvements_Actual,Metres_Gained,Intercepts,Time_On_Ground_Pct
2015,5.0,12014,2.0,82.0,2.0,87.0
2015,16.0,12014,2.0,136.0,1.0,84.0
2015,23.0,12014,3.0,152.0,2.0,89.0
2015,3.0,12041,3.0,149.0,2.0,85.0
2015,4.0,12041,2.0,324.0,3.0,91.0
2015,6.0,12041,4.0,177.0,0.0,88.0
2015,7.0,12041,2.0,68.0,0.0,26.0
2015,8.0,12041,1.0,23.0,1.0,53.0
2015,14.0,12041,9.0,368.0,3.0,79.0
2015,15.0,12041,5.0,203.0,3.0,85.0
2015,16.0,12041,2.0,341.0,1.0,88.0
2015,17.0,12041,6.0,296.0,0.0,84.0
2015,18.0,12041,4.0,358.0,0.0,76.0
2015,19.0,12041,8.0,870.0,5.0,80.0
2015,20.0,12041,7.0,844.0,2.0,84.0
2015,21.0,12041,9.0,869.0,3.0,85.0
2015,22.0,12041,4.0,462.0,1.0,90.0
2015,23.0,12041,6.0,578.0,5.0,86.0
2015,15.0,12008,1.0,171.0,4.0,76.0
2015,16.0,12008,1.0,67.0,3.0,43.0
2015,19.0,12008,1.0,39.0,0.0,23.0
2015,23.0,12008,1.0,347.0,1.0,89.0
2015,1.0,1421,6.0,21.0,1.0,82.0
2015,2.0,1421,4.0,13.0,3.0,85.0
2015,3.0,1421,9.0,114.0,5.0,84.0
2015,4.0,1421,5.0,-32.0,5.0,84.0
2015,5.0,1421,4.0,47.0,1.0,83.0
2015,6.0,1421,8.0,69.0,2.0,83.0
2015,7.0,1421,7.0,-81.0,0.0,79.0
2015,8.0,1421,5.0,24.0,3.0,74.0
2015,9.0,1421,2.0,30.0,0.0,84.0
2015,10.0,1421,9.0,69.0,2.0,87.0
2015,11.0,1421,7.0,12.0,3.0,89.0
2015,13.0,1421,3.0,-25.0,3.0,81.0
2015,14.0,1421,3.0,92.0,1.0,82.0
2015,15.0,1421,3.0,165.0,3.0,80.0
2015,16.0,1421,8.0,29.0,3.0,77.0
2015,17.0,1421,7.0,22.0,1.0,85.0
2015,18.0,1421,6.0,133.0,7.0,79.0
2015,19.0,1421,6.0,140.0,1.0,80.0
2015,20.0,1421,12.0,13.0,3.0,87.0
2015,21.0,1421,5.0,-9.0,3.0,83.0
2015,22.0,1421,7.0,-52.0,4.0,78.0
2015,1.0,12323,6.0,258.0,2.0,83.0
2015,2.0,12323,4.0,378.0,1.0,81.0
2015,3.0,12323,2.0,392.0,5.0,79.0
2015,4.0,12323,4.0,253.0,1.0,86.0
2015,5.0,12323,6.0,233.0,1.0,80.0
2015,6.0,12323,5.0,233.0,2.0,76.0
2015,7.0,12323,3.0,219.0,0.0,76.0
2015,8.0,12323,6.0,390.0,4.0,80.0
2015,9.0,12323,1.0,330.0,0.0,80.0
2015,10.0,12323,1.0,134.0,1.0,38.0
2015,15.0,12323,3.0,456.0,2.0,74.0
2015,16.0,12323,3.0,424.0,3.0,80.0
2015,17.0,12323,1.0,73.0,1.0,52.0
2015,18.0,12323,9.0,415.0,1.0,77.0
2015,3.0,12068,4.0,231.0,0.0,73.0
2015,4.0,12068,8.0,285.0,4.0,73.0
2015,5.0,12068,3.0,92.0,4.0,68.0
2015,6.0,12068,2.0,76.0,0.0,53.0
2015,10.0,12068,1.0,180.0,0.0,19.0
2015,11.0,12068,0.0,223.0,2.0,45.0
2015,16.0,12068,4.0,74.0,3.0,36.0
2015,17.0,12068,5.0,42.0,0.0,24.0
2015,18.0,12068,6.0,291.0,0.0,76.0
2015,19.0,12068,3.0,226.0,0.0,72.0
2015,22.0,12068,1.0,132.0,4.0,22.0
2015,1.0,3940,4.0,180.0,1.0,83.0
2015,2.0,3940,5.0,284.0,0.0,74.0
2015,3.0,3940,7.0,84.0,1.0,61.0
2015,8.0,3940,10.0,337.0,0.0,79.0
2015,9.0,3940,1.0,295.0,1.0,84.0
2015,10.0,3940,4.0,278.0,1.0,83.0
2015,11.0,3940,2.0,400.0,2.0,90.0
2015,13.0,3940,8.0,291.0,0.0,82.0
2015,14.0,3940,1.0,182.0,1.0,46.0
2015,18.0,3940,4.0,271.0,1.0,80.0
2015,19.0,3940,2.0,77.0,2.0,88.0
2015,1.0,1012,3.0,171.0,0.0,56.0
2015,2.0,1012,1.0,56.0,2.0,14.0
2015,5.0,1012,3.0,152.0,2.0,80.0
2015,6.0,1012,5.0,192.0,2.0,50.0
2015,7.0,1012,8.0,130.0,0.0,83.0
2015,8.0,1012,8.0,377.0,1.0,89.0
2015,9.0,1012,7.0,390.0,1.0,90.0
2015,10.0,1012,4.0,263.0,3.0,90.0
2015,11.0,1012,5.0,170.0,1.0,87.0
2015,13.0,1012,4.0,159.0,1.0,87.0
2015,14.0,1012,6.0,299.0,1.0,89.0
2015,15.0,1012,6.0,302.0,0.0,87.0
2015,16.0,1012,4.0,397.0,4.0,93.0
2015,17.0,1012,6.0,291.0,1.0,92.0
2015,19.0,1012,5.0,296.0,3.0,88.0
2015,20.0,1012,3.0,199.0,0.0,85.0
2015,21.0,1012,8.0,143.0,2.0,86.0
2015,22.0,1012,6.0,252.0,2.0,92.0
2015,23.0,1012,7.0,170.0,1.0,92.0
2015,6.0,12031,2.0,161.0,2.0,75.0
2015,7.0,12031,5.0,320.0,4.0,78.0
2015,8.0,12031,4.0,195.0,2.0,84.0
2015,9.0,12031,1.0,78.0,3.0,57.0
2015,14.0,12031,2.0,272.0,6.0,84.0
2015,22.0,12031,5.0,255.0,6.0,84.0
2015,23.0,12031,3.0,212.0,6.0,90.0
2015,1.0,12202,3.0,150.0,0.0,57.0
2015,2.0,12202,3.0,597.0,7.0,88.0
2015,3.0,12202,5.0,408.0,8.0,90.0
2015,4.0,12202,0.0,113.0,2.0,63.0
2015,5.0,12202,8.0,664.0,5.0,79.0
2015,6.0,12202,6.0,394.0,4.0,88.0
2015,7.0,12202,4.0,245.0,3.0,86.0
2015,8.0,12202,6.0,316.0,4.0,90.0
2015,9.0,12202,0.0,-8.0,2.0,45.0
2015,10.0,12202,4.0,398.0,13.0,90.0
2015,11.0,12202,3.0,195.0,6.0,91.0
2015,13.0,12202,2.0,175.0,6.0,64.0
2015,14.0,12202,7.0,75.0,3.0,87.0
2015,15.0,12202,2.0,309.0,2.0,92.0
2015,16.0,12202,4.0,400.0,5.0,81.0
2015,17.0,12202,1.0,141.0,0.0,49.0
2015,23.0,12202,2.0,253.0,3.0,85.0
2015,1.0,12330,3.0,289.0,5.0,85.0
2015,2.0,12330,2.0,413.0,11.0,89.0
2015,3.0,12330,2.0,339.0,8.0,79.0
2015,4.0,12330,3.0,230.0,1.0,79.0
2015,5.0,12330,5.0,552.0,5.0,93.0
2015,6.0,12330,5.0,388.0,9.0,90.0
2015,8.0,12330,2.0,311.0,5.0,86.0
2015,9.0,12330,4.0,322.0,6.0,89.0
2015,10.0,12330,2.0,272.0,1.0,86.0
2015,11.0,12330,1.0,380.0,10.0,90.0
2015,13.0,12330,3.0,225.0,6.0,88.0
2015,14.0,12330,6.0,422.0,2.0,79.0
2015,18.0,12330,4.0,346.0,9.0,86.0
2015,19.0,12330,2.0,48.0,3.0,87.0
2015,20.0,12330,3.0,197.0,1.0,81.0
2015,21.0,12330,3.0,66.0,3.0,88.0
2015,1.0,1432,7.0,330.0,1.0,75.0
2015,3.0,1432,5.0,301.0,4.0,81.0
2015,4.0,1432,4.0,200.0,1.0,81.0
2015,5.0,1432,7.0,302.0,3.0,82.0
2015,6.0,1432,8.0,320.0,3.0,81.0
2015,7.0,1432,6.0,243.0,0.0,88.0
2015,8.0,1432,6.0,439.0,1.0,78.0
2015,9.0,1432,6.0,329.0,2.0,86.0
2015,10.0,1432,5.0,368.0,1.0,75.0
2015,13.0,1432,7.0,290.0,2.0,84.0
2015,14.0,1432,7.0,313.0,0.0,78.0
2015,15.0,1432,3.0,161.0,0.0,83.0
2015,17.0,1432,5.0,394.0,4.0,77.0
2015,18.0,1432,5.0,216.0,2.0,82.0
2015,22.0,1432,6.0,246.0,1.0,81.0
2015,1.0,12027,4.0,174.0,2.0,94.0
2015,2.0,12027,0.0,-5.0,0.0,30.0
2015,15.0,12027,0.0,161.0,4.0,88.0
2015,16.0,12027,1.0,276.0,5.0,94.0
2015,17.0,12027,5.0,335.0,1.0,0.0
2015,18.0,12027,0.0,171.0,6.0,93.0
2015,22.0,12027,6.0,219.0,5.0,87.0
2015,23.0,12027,2.0,264.0,2.0,84.0
2015,1.0,12054,11.0,532.0,4.0,76.0
2015,2.0,12054,7.0,368.0,2.0,78.0
2015,3.0,12054,7.0,250.0,5.0,90.0
2015,4.0,12054,13.0,234.0,1.0,85.0
2015,5.0,12054,3.0,217.0,1.0,83.0
2015,6.0,12054,7.0,382.0,1.0,84.0
2015,7.0,12054,11.0,194.0,7.0,79.0
2015,8.0,12054,8.0,296.0,4.0,82.0
2015,9.0,12054,5.0,324.0,2.0,85.0
2015,10.0,12054,7.0,327.0,1.0,86.0
2015,11.0,12054,8.0,338.0,1.0,84.0
2015,12.0,12054,6.0,380.0,1.0,80.0
2015,14.0,12054,6.0,205.0,2.0,86.0
2015,15.0,12054,6.0,563.0,1.0,86.0
2015,16.0,12054,6.0,321.0,1.0,81.0
2015,17.0,12054,5.0,325.0,3.0,0.0
2015,18.0,12054,4.0,429.0,2.0,86.0
2015,19.0,12054,7.0,179.0,3.0,89.0
2015,21.0,12054,5.0,528.0,5.0,80.0
2015,22.0,12054,12.0,514.0,1.0,81.0
2015,23.0,12054,4.0,318.0,3.0,83.0
2015,1.0,12070,2.0,24.0,1.0,77.0
2015,2.0,12070,6.0,76.0,1.0,48.0
2015,3.0,12070,2.0,89.0,0.0,83.0
2015,4.0,12070,2.0,16.0,1.0,39.0
2015,1.0,12181,0.0,67.0,4.0,89.0
2015,2.0,12181,1.0,102.0,3.0,90.0
2015,3.0,12181,1.0,25.0,5.0,88.0
2015,4.0,12181,1.0,81.0,5.0,91.0
2015,5.0,12181,0.0,73.0,1.0,86.0
2015,7.0,12181,2.0,168.0,6.0,90.0
2015,9.0,12181,2.0,306.0,2.0,87.0
2015,10.0,12181,0.0,159.0,3.0,84.0
2015,12.0,12181,0.0,88.0,3.0,90.0
2015,14.0,12181,0.0,100.0,4.0,93.0
2015,15.0,12181,0.0,56.0,2.0,90.0
2015,16.0,12181,3.0,225.0,5.0,92.0
2015,17.0,12181,1.0,111.0,5.0,0.0
2015,18.0,12181,0.0,88.0,5.0,91.0
2015,19.0,12181,1.0,140.0,5.0,87.0
2015,20.0,12181,2.0,32.0,5.0,91.0
2015,21.0,12181,0.0,15.0,2.0,91.0
2015,22.0,12181,3.0,168.0,3.0,87.0
2015,23.0,12181,3.0,175.0,4.0,95.0
2015,8.0,11998,2.0,37.0,1.0,24.0
2015,10.0,11998,5.0,-12.0,2.0,80.0
2015,11.0,11998,2.0,147.0,0.0,70.0
2015,12.0,11998,3.0,-22.0,0.0,15.0
2015,1.0,11553,2.0,260.0,6.0,93.0
2015,2.0,11553,1.0,173.0,5.0,84.0
2015,3.0,11553,3.0,321.0,7.0,94.0
2015,4.0,11553,2.0,103.0,6.0,92.0
2015,5.0,11553,3.0,149.0,8.0,87.0
2015,6.0,11553,1.0,99.0,7.0,93.0
2015,7.0,11553,0.0,4.0,0.0,24.0
2015,9.0,11553,5.0,189.0,7.0,93.0
2015,10.0,11553,2.0,77.0,8.0,90.0
2015,11.0,11553,1.0,176.0,5.0,94.0
2015,13.0,11553,3.0,242.0,10.0,90.0
2015,14.0,11553,0.0,121.0,4.0,92.0
2015,15.0,11553,0.0,116.0,4.0,88.0
2015,16.0,11553,1.0,140.0,5.0,85.0
2015,17.0,11553,1.0,199.0,4.0,94.0
2015,18.0,11553,2.0,121.0,4.0,95.0
2015,19.0,11553,3.0,181.0,6.0,91.0
2015,20.0,11553,0.0,161.0,4.0,84.0
2015,21.0,11553,1.0,135.0,5.0,89.0
2015,23.0,11553,2.0,105.0,2.0,28.0
2015,15.0,11965,0.0,31.0,0.0,30.0
2015,17.0,11965,7.0,265.0,2.0,84.0
2015,18.0,11965,2.0,131.0,0.0,48.0
2015,1.0,11977,7.0,132.0,1.0,87.0
2015,2.0,11977,4.0,219.0,3.0,89.0
2015,8.0,11977,6.0,195.0,0.0,82.0
2015,9.0,11977,9.0,358.0,1.0,79.0
2015,10.0,11977,6.0,180.0,1.0,85.0
2015,11.0,11977,3.0,134.0,1.0,83.0
2015,13.0,11977,3.0,129.0,2.0,85.0
2015,14.0,11977,10.0,231.0,1.0,87.0
2015,15.0,11977,5.0,233.0,1.0,89.0
2015,16.0,11977,5.0,358.0,1.0,86.0
2015,17.0,11977,2.0,15.0,2.0,85.0
2015,18.0,11977,9.0,301.0,3.0,83.0
2015,19.0,11977,10.0,346.0,2.0,91.0
2015,20.0,11977,4.0,199.0,3.0,93.0
2015,21.0,11977,0.0,65.0,1.0,43.0
2015,22.0,11977,6.0,373.0,1.0,86.0
2015,23.0,11977,9.0,350.0,2.0,89.0
2015,11.0,12367,2.0,91.0,0.0,76.0
2015,12.0,12367,4.0,186.0,0.0,74.0
2015,14.0,12367,2.0,308.0,3.0,78.0
2015,15.0,12367,1.0,41.0,1.0,81.0
2015,16.0,12367,2.0,36.0,0.0,27.0
2015,18.0,12367,2.0,152.0,1.0,67.0
2015,19.0,12367,2.0,78.0,0.0,25.0
2015,20.0,12367,2.0,273.0,1.0,80.0
2015,21.0,12367,2.0,224.0,1.0,40.0
2015,22.0,12367,0.0,29.0,2.0,77.0
2015,23.0,12367,0.0,-2.0,0.0,20.0
2015,6.0,12352,0.0,87.0,5.0,93.0
2015,7.0,12352,1.0,71.0,3.0,89.0
2015,11.0,12352,1.0,114.0,2.0,91.0
2015,13.0,12352,1.0,132.0,4.0,81.0
2015,14.0,12352,2.0,112.0,6.0,99.0
2015,15.0,12352,3.0,-1.0,4.0,93.0
2015,16.0,12352,1.0,101.0,7.0,96.0
2015,17.0,12352,1.0,92.0,4.0,96.0
2015,18.0,12352,4.0,106.0,1.0,64.0
2015,19.0,12352,7.0,120.0,1.0,89.0
2015,20.0,12352,4.0,91.0,2.0,86.0
2015,21.0,12352,2.0,43.0,1.0,78.0
2015,23.0,12352,1.0,124.0,3.0,100.0
2015,1.0,11733,5.0,288.0,7.0,96.0
2015,2.0,11733,3.0,303.0,13.0,99.0
2015,3.0,11733,1.0,121.0,6.0,100.0
2015,4.0,11733,2.0,152.0,7.0,96.0
2015,5.0,11733,4.0,217.0,5.0,100.0
2015,6.0,11733,3.0,169.0,5.0,94.0
2015,7.0,11733,7.0,280.0,10.0,98.0
2015,8.0,11733,1.0,103.0,5.0,100.0
2015,9.0,11733,3.0,182.0,7.0,98.0
2015,10.0,11733,3.0,47.0,6.0,98.0
2015,12.0,11733,1.0,101.0,3.0,100.0
2015,13.0,11733,4.0,365.0,11.0,99.0
2015,14.0,11733,4.0,67.0,8.0,95.0
2015,15.0,11733,2.0,308.0,6.0,99.0
2015,16.0,11733,6.0,261.0,10.0,92.0
2015,17.0,11733,6.0,185.0,8.0,98.0
2015,18.0,11733,3.0,193.0,9.0,100.0
2015,19.0,11733,1.0,174.0,9.0,97.0
2015,20.0,11733,4.0,296.0,10.0,100.0
2015,21.0,11733,6.0,195.0,6.0,100.0
2015,22.0,11733,1.0,226.0,16.0,96.0
2015,23.0,11733,4.0,279.0,6.0,98.0
2015,1.0,12080,4.0,397.0,0.0,90.0
