kind,player,arg,odds,stake,note
under,Harry Sheezel,20.5,1.87,20.0,TAB
group,Jake Waterman,WEST_COAST_NO_REID,2.9,10.0,most votes WCE w/o Reid
under,Jai Newcombe,23.5,3.64,10.0,MULTI leg 1 of 2
under,Luke Davies-Uniacke,17.5,0.0,0.0,MULTI leg 2 of 2
window,Will Ashcroft,17-24,10.0,2.5,most votes rounds 17-24
group,John Noble,GROUP_D,9.0,5.0,Group D winner
group,Harry Sheezel,GROUP_B,6.0,12.5,Group B winner
group,Jason Horne-Francis,GROUP_B,9.0,2.0,Group B winner
topn,Shai Bolton,20,12.0,5.0,top 20
topn,Clayton Oliver,10,71.0,5.0,top 10
atleast,Hugo Garcia,10,9.0,5.0,10+ votes
atleast,Tom Sparrow,15,7.0,3.0,15+ votes
atleast,Will Hayward,1,6.0,3.0,to poll a vote
atleast,Conor Nash,1,5.9,3.0,to poll a vote
under,Nasiah Wanganeen-Milera,21.5,1.87,15.0,Sportsbet
leader,Nick Daicos,10,2.75,30.0,leader after round 10
game3,Tom Papley,4,41.0,1.31,Dabble
game3,Sam Walsh,1,3.9,5.0,Sportsbet 3-vote
game3,Wayne Milera,1,3.5,5.0,Sportsbet 3-vote
game3,Caleb Daniel,4,8.0,5.0,Sportsbet 3-vote
game3,Tom Papley,4,21.0,5.0,Sportsbet 3-vote
game3,Tom Sparrow,7,17.0,5.0,Sportsbet 3-vote
game3,Tristan Xerri,8,11.0,5.0,Sportsbet 3-vote
game3,Oliver Florent,10,16.0,5.0,Sportsbet 3-vote
game3,Shai Bolton,10,5.5,5.0,Sportsbet 3-vote
game3,Darcy Cameron,11,26.0,5.0,Sportsbet 3-vote
game3,Harry Sheezel,11,9.0,5.0,Sportsbet 3-vote
game3,Esava Ratugolea,13,11.0,5.0,Sportsbet 3-vote
game3,Caleb Daniel,16,26.0,5.0,Sportsbet 3-vote
game3,Chad Warner,20,9.0,5.0,Sportsbet 3-vote
game3,Francis Evans,22,6.0,5.0,Sportsbet 3-vote
game3,Oliver Dempsey,22,8.0,5.0,Sportsbet 3-vote
game3,Touk Miller,22,23.0,5.0,Sportsbet 3-vote
game3,Beau McCreery,23,5.5,5.0,Sportsbet 3-vote
game3,Shaun Mannagh,23,6.0,5.0,Sportsbet 3-vote
manual,Harry Sheezel,+23.5,10.0,2.0,winner handicap TAB - settle by hand
