Season,MatchId,RoundNumber,RoundName,utc,Home,Away,PlayerId,Player,Team,Period,Kicks,Handballs,Disposals
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I999326,Brad Close,Geelong,1,3,2,5
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I999326,Brad Close,Geelong,2,2,5,7
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I999326,Brad Close,Geelong,3,2,2,4
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I999326,Brad Close,Geelong,4,0,1,1
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I298419,Brandan Parfitt,Geelong,1,4,2,6
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I298419,Brandan Parfitt,Geelong,2,2,3,5
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I298419,Brandan Parfitt,Geelong,3,4,1,5
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I298419,Brandan Parfitt,Geelong,4,1,4,5
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I290550,Cameron Guthrie,Geelong,1,1,2,3
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I290550,Cameron Guthrie,Geelong,2,2,5,7
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I290550,Cameron Guthrie,Geelong,3,1,2,3
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I290550,Cameron Guthrie,Geelong,4,2,2,4
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I291357,Gary Rohan,Geelong,1,0,1,1
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I291357,Gary Rohan,Geelong,2,0,1,1
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I291357,Gary Rohan,Geelong,3,5,1,6
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I291357,Gary Rohan,Geelong,4,4,0,4
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I1004938,Gryan Miers,Geelong,1,3,1,4
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I1004938,Gryan Miers,Geelong,2,4,0,4
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I1004938,Gryan Miers,Geelong,3,1,2,3
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I1004938,Gryan Miers,Geelong,4,0,1,1
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I294877,Isaac Smith,Geelong,1,4,1,5
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I294877,Isaac Smith,Geelong,2,4,2,6
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I294877,Isaac Smith,Geelong,3,6,1,7
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I294877,Isaac Smith,Geelong,4,4,1,5
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I1000937,Jack Henry,Geelong,1,2,0,2
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I1000937,Jack Henry,Geelong,2,2,1,3
