Season,Player,Surname,First_name,Teams,Votes,Games,Votes_3,Votes_2,Votes_1,Games_polled,Vote_system
1924,Edward Greeves,Greeves,Edward,Geelong,7,14,7,,,7,single
1924,George Shorten,Shorten,George,Essendon,6,15,6,,,6,single
1924,Bert Chadwick,Chadwick,Bert,Melbourne,6,16,6,,,6,single
1924,Doug Hayes,Hayes,Doug,Richmond,4,15,4,,,4,single
1924,Paddy OBrien,OBrien,Paddy,Carlton,3,15,3,,,3,single
1924,Jack Moriarty,Moriarty,Jack,Fitzroy,3,16,3,,,3,single
1924,Arthur Pink,Pink,Arthur,Geelong,3,16,3,,,3,single
1924,Mark Tandy,Tandy,Mark,South Melbourne,3,15,3,,,3,single
1924,Maurie Beasy,Beasy,Maurie,Carlton,2,13,2,,,2,single
1924,Norm Beckton,Beckton,Norm,Essendon,2,16,2,,,2,single
1924,Les Bryant,Bryant,Les,Fitzroy,2,16,2,,,2,single
1924,Jim Spain,Spain,Jim,Richmond,2,15,2,,,2,single
1924,Roy Cazaly,Cazaly,Roy,South Melbourne,2,16,2,,,2,single
1924,Jack OConnell,OConnell,Jack,South Melbourne,2,15,2,,,2,single
1924,Wels Eicke,Eicke,Wels,St Kilda,2,11,2,,,2,single
1924,Colin Watson,Watson,Colin,St Kilda,2,15,2,,,2,single
1924,Stan Trebilco,Trebilco,Stan,Carlton,1,15,1,,,1,single
1924,Gordon Coventry,Coventry,Gordon,Collingwood,1,14,1,,,1,single
1924,Charles Tyson,Tyson,Charles,Collingwood,1,14,1,,,1,single
1924,Joe Poulter,Poulter,Joe,Collingwood,1,15,1,,,1,single
1924,Reg Baker,Baker,Reg,Collingwood,1,16,1,,,1,single
1924,Syd Coventry,Coventry,Syd,Collingwood,1,14,1,,,1,single
1924,Tom Fitzmaurice,Fitzmaurice,Tom,Essendon,1,15,1,,,1,single
1924,Justin McCarthy,McCarthy,Justin,Essendon,1,9,1,,,1,single
1924,Jim Atkinson,Atkinson,Jim,Fitzroy,1,16,1,,,1,single
1924,Arthur Batchelor,Batchelor,Arthur,Fitzroy,1,12,1,,,1,single
1924,Arthur Dickens,Dickens,Arthur,Fitzroy,1,10,1,,,1,single
1924,Len Wigraft,Wigraft,Len,Fitzroy,1,16,1,,,1,single
1924,Cliff Rankin,Rankin,Cliff,Geelong,1,15,1,,,1,single
1924,Derek Mollison,Mollison,Derek,Melbourne,1,14,1,,,1,single
1924,Bob McCaskill,McCaskill,Bob,Richmond,1,14,1,,,1,single
1924,Keith Millar,Millar,Keith,Richmond,1,5,1,,,1,single
1924,George Rudolph,Rudolph,George,Richmond,1,16,1,,,1,single
1924,Vic Thorp,Thorp,Vic,Richmond,1,15,1,,,1,single
1924,Arthur Hando,Hando,Arthur,South Melbourne,1,15,1,,,1,single
1924,Cyril Gambetta,Gambetta,Cyril,St Kilda,1,15,1,,,1,single
1924,Jimmy Milne,Milne,Jimmy,St Kilda,1,13,1,,,1,single
1925,Colin Watson,Watson,Colin,St Kilda,9,15,9,,,9,single
1925,Edward Greeves,Greeves,Edward,Geelong,7,17,7,,,7,single
1925,Frank Maher,Maher,Frank,Essendon,4,17,4,,,4,single
1925,Bert Chadwick,Chadwick,Bert,Melbourne,4,16,4,,,4,single
1925,Syd Coventry,Coventry,Syd,Collingwood,3,16,3,,,3,single
1925,Len Wigraft,Wigraft,Len,Fitzroy,3,17,3,,,3,single
