"Season","Round","Date","Venue","ID","Player","Playing.for","Home.team","Away.team","Brownlow.Votes"
1990,"1",1990-03-31,"Princes Park",1178,"Tom Alvin","Carlton","Carlton","Sydney",2
1990,"1",1990-03-31,"Princes Park",1327,"Adrian Bassett","Carlton","Carlton","Sydney",0
1990,"1",1990-03-31,"Princes Park",1400,"Wayne Blackwell","Carlton","Carlton","Sydney",0
1990,"1",1990-03-31,"Princes Park",151,"Craig Bradley","Carlton","Carlton","Sydney",0
1990,"1",1990-03-31,"Princes Park",147,"Fraser Brown","Carlton","Carlton","Sydney",0
1990,"1",1990-03-31,"Princes Park",1643,"Steven Da Rui","Carlton","Carlton","Sydney",0
1990,"1",1990-03-31,"Princes Park",1265,"Jon Dorotich","Carlton","Carlton","Sydney",0
1990,"1",1990-03-31,"Princes Park",1291,"Stephen Edgar","Carlton","Carlton","Sydney",0
1990,"1",1990-03-31,"Princes Park",152,"Adrian Gleeson","Carlton","Carlton","Sydney",0
1990,"1",1990-03-31,"Princes Park",146,"Mil Hanna","Carlton","Carlton","Sydney",0
1990,"1",1990-03-31,"Princes Park",1343,"Ian Herman","Carlton","Carlton","Sydney",0
1990,"1",1990-03-31,"Princes Park",1849,"Wayne Johnston","Carlton","Carlton","Sydney",0
1990,"1",1990-03-31,"Princes Park",1356,"David Kernahan","Carlton","Carlton","Sydney",0
1990,"1",1990-03-31,"Princes Park",148,"Stephen Kernahan","Carlton","Carlton","Sydney",0
1990,"1",1990-03-31,"Princes Park",150,"Justin Madden","Carlton","Carlton","Sydney",0
1990,"1",1990-03-31,"Princes Park",11288,"Warren McKenzie","Carlton","Carlton","Sydney",0
1990,"1",1990-03-31,"Princes Park",155,"Luke OSullivan","Carlton","Carlton","Sydney",0
1990,"1",1990-03-31,"Princes Park",2108,"David Rhys-Jones","Carlton","Carlton","Sydney",0
1990,"1",1990-03-31,"Princes Park",136,"Stephen Silvagni","Carlton","Carlton","Sydney",0
1990,"1",1990-03-31,"Princes Park",1380,"Simon Verbeek","Carlton","Carlton","Sydney",0
1990,"1",1990-03-31,"Princes Park",988,"Mark Bayes","Sydney","Carlton","Sydney",0
1990,"1",1990-03-31,"Princes Park",1535,"David Bolton","Sydney","Carlton","Sydney",0
1990,"1",1990-03-31,"Princes Park",1585,"Rod Carter","Sydney","Carlton","Sydney",0
1990,"1",1990-03-31,"Princes Park",1288,"Neil Cordy","Sydney","Carlton","Sydney",0
1990,"1",1990-03-31,"Princes Park",1340,"Mark Eustice","Sydney","Carlton","Sydney",0
1990,"1",1990-03-31,"Princes Park",11465,"Shane Fell","Sydney","Carlton","Sydney",0
1990,"1",1990-03-31,"Princes Park",1366,"Gerard Healy","Sydney","Carlton","Sydney",0
1990,"1",1990-03-31,"Princes Park",1294,"Wayne Henwood","Sydney","Carlton","Sydney",0
1990,"1",1990-03-31,"Princes Park",652,"Leon Higgins","Sydney","Carlton","Sydney",0
1990,"1",1990-03-31,"Princes Park",993,"Paul Kelly","Sydney","Carlton","Sydney",0
1990,"1",1990-03-31,"Princes Park",157,"Barry Mitchell","Sydney","Carlton","Sydney",0
1990,"1",1990-03-31,"Princes Park",1341,"David Murphy","Sydney","Carlton","Sydney",0
1990,"1",1990-03-31,"Princes Park",1413,"Michael Parsons","Sydney","Carlton","Sydney",0
1990,"1",1990-03-31,"Princes Park",1279,"Craig Potter","Sydney","Carlton","Sydney",0
1990,"1",1990-03-31,"Princes Park",1304,"Terry Thripp","Sydney","Carlton","Sydney",0
1990,"1",1990-03-31,"Princes Park",1313,"Bernard Toohey","Sydney","Carlton","Sydney",0
1990,"1",1990-03-31,"Princes Park",1263,"Brad Tunbridge","Sydney","Carlton","Sydney",0
1990,"1",1990-03-31,"Princes Park",11469,"Jim West","Sydney","Carlton","Sydney",0
1990,"1",1990-03-31,"Princes Park",142,"Greg Williams","Sydney","Carlton","Sydney",3
1990,"1",1990-03-31,"Princes Park",1368,"Stephen Wright","Sydney","Carlton","Sydney",1
1990,"1",1990-03-31,"Windy Hill",24,"Greg Anderson","Essendon","Essendon","Fitzroy",3
1990,"1",1990-03-31,"Windy Hill",1376,"Tony Antrobus","Essendon","Essendon","Fitzroy",0
1990,"1",1990-03-31,"Windy Hill",311,"Darren Bewick","Essendon","Essendon","Fitzroy",0
1990,"1",1990-03-31,"Windy Hill",987,"Ed Considine","Essendon","Essendon","Fitzroy",0
1990,"1",1990-03-31,"Windy Hill",323,"Peter Cransberg","Essendon","Essendon","Fitzroy",0
1990,"1",1990-03-31,"Windy Hill",1238,"Anthony Daniher","Essendon","Essendon","Fitzroy",0
1990,"1",1990-03-31,"Windy Hill",1301,"Alan Ezard","Essendon","Essendon","Fitzroy",1
1990,"1",1990-03-31,"Windy Hill",305,"David Grenvold","Essendon","Essendon","Fitzroy",0
1990,"1",1990-03-31,"Windy Hill",1344,"Paul Hamilton","Essendon","Essendon","Fitzroy",0
1990,"1",1990-03-31,"Windy Hill",989,"Derek Kickett","Essendon","Essendon","Fitzroy",0
1990,"1",1990-03-31,"Windy Hill",313,"Michael Long","Essendon","Essendon","Fitzroy",0
1990,"1",1990-03-31,"Windy Hill",1302,"Simon Madden","Essendon","Essendon","Fitzroy",0
1990,"1",1990-03-31,"Windy Hill",1345,"Andrew Manning","Essendon","Essendon","Fitzroy",2
1990,"1",1990-03-31,"Windy Hill",318,"Gary ODonnell","Essendon","Essendon","Fitzroy",0
1990,"1",1990-03-31,"Windy Hill",784,"Bradley Plain","Essendon","Essendon","Fitzroy",0
1990,"1",1990-03-31,"Windy Hill",314,"Paul Salmon","Essendon","Essendon","Fitzroy",0
1990,"1",1990-03-31,"Windy Hill",326,"Mark Thompson","Essendon","Essendon","Fitzroy",0
1990,"1",1990-03-31,"Windy Hill",1335,"Paul Vander Haar","Essendon","Essendon","Fitzroy",0
1990,"1",1990-03-31,"Windy Hill",1162,"Tim Watson","Essendon","Essendon","Fitzroy",0
1990,"1",1990-03-31,"Windy Hill",1183,"Michael Werner","Essendon","Essendon","Fitzroy",0
1990,"1",1990-03-31,"Windy Hill",377,"Jason Baldwin","Fitzroy","Essendon","Fitzroy",0
1990,"1",1990-03-31,"Windy Hill",762,"John Blakey","Fitzroy","Essendon","Fitzroy",0
1990,"1",1990-03-31,"Windy Hill",11408,"Peter Bourke","Fitzroy","Essendon","Fitzroy",0
1990,"1",1990-03-31,"Windy Hill",11414,"Andrew Brockhurst","Fitzroy","Essendon","Fitzroy",0
1990,"1",1990-03-31,"Windy Hill",872,"Paul Broderick","Fitzroy","Essendon","Fitzroy",0
1990,"1",1990-03-31,"Windy Hill",1357,"Scott Clayton","Fitzroy","Essendon","Fitzroy",0
1990,"1",1990-03-31,"Windy Hill",11472,"Roger Delaney","Fitzroy","Essendon","Fitzroy",0
1990,"1",1990-03-31,"Windy Hill",11439,"Carl Dilena","Fitzroy","Essendon","Fitzroy",0
1990,"1",1990-03-31,"Windy Hill",1322,"John Ironmonger","Fitzroy","Essendon","Fitzroy",0
1990,"1",1990-03-31,"Windy Hill",477,"Dale Kickett","Fitzroy","Essendon","Fitzroy",0
1990,"1",1990-03-31,"Windy Hill",11441,"Dean Lupson","Fitzroy","Essendon","Fitzroy",0
1990,"1",1990-03-31,"Windy Hill",104,"Alastair Lynch","Fitzroy","Essendon","Fitzroy",0
1990,"1",1990-03-31,"Windy Hill",103,"Ross Lyon","Fitzroy","Essendon","Fitzroy",0
1990,"1",1990-03-31,"Windy Hill",1377,"Wally Matera","Fitzroy","Essendon","Fitzroy",0
1990,"1",1990-03-31,"Windy Hill",1224,"Brendan McCormack","Fitzroy","Essendon","Fitzroy",0
1990,"1",1990-03-31,"Windy Hill",1347,"Matthew Rendell","Fitzroy","Essendon","Fitzroy",0
1990,"1",1990-03-31,"Windy Hill",985,"Paul Roos","Fitzroy","Essendon","Fitzroy",0
1990,"1",1990-03-31,"Windy Hill",1267,"Brett Stephens","Fitzroy","Essendon","Fitzroy",0
1990,"1",1990-03-31,"Windy Hill",11474,"Chris Waterson","Fitzroy","Essendon","Fitzroy",0
1990,"1",1990-03-31,"Windy Hill",644,"Tony Woods","Fitzroy","Essendon","Fitzroy",0
1990,"1",1990-03-31,"Waverley Park",567,"Gary Ablett","Geelong","Geelong","Hawthorn",0
1990,"1",1990-03-31,"Waverley Park",1499,"Bret Bailey","Geelong","Geelong","Hawthorn",0
1990,"1",1990-03-31,"Waverley Park",11368,"Peter Baldwin","Geelong","Geelong","Hawthorn",0
1990,"1",1990-03-31,"Waverley Park",564,"Bill Brownless","Geelong","Geelong","Hawthorn",0
1990,"1",1990-03-31,"Waverley Park",11369,"Gary Cameron","Geelong","Geelong","Hawthorn",0
1990,"1",1990-03-31,"Waverley Park",1597,"Martin Christensen","Geelong","Geelong","Hawthorn",0
1990,"1",1990-03-31,"Waverley Park",565,"Paul Couch","Geelong","Geelong","Hawthorn",0
1990,"1",1990-03-31,"Waverley Park",320,"Tim Darcy","Geelong","Geelong","Hawthorn",0
1990,"1",1990-03-31,"Waverley Park",319,"Sean Denham","Geelong","Geelong","Hawthorn",0
1990,"1",1990-03-31,"Waverley Park",1385,"Gavin Exell","Geelong","Geelong","Hawthorn",0
1990,"1",1990-03-31,"Waverley Park",1348,"Darren Flanigan","Geelong","Geelong","Hawthorn",0
1990,"1",1990-03-31,"Waverley Park",11475,"Michael Gurrie","Geelong","Geelong","Hawthorn",0
1990,"1",1990-03-31,"Waverley Park",112,"Shane Hamilton","Geelong","Geelong","Hawthorn",0
1990,"1",1990-03-31,"Waverley Park",577,"Garry Hocking","Geelong","Geelong","Hawthorn",0
1990,"1",1990-03-31,"Waverley Park",1200,"Steve Hocking","Geelong","Geelong","Hawthorn",0
1990,"1",1990-03-31,"Waverley Park",1921,"Bruce Lindner","Geelong","Geelong","Hawthorn",0
1990,"1",1990-03-31,"Waverley Park",1310,"Spiro Malakellis","Geelong","Geelong","Hawthorn",0
1990,"1",1990-03-31,"Waverley Park",1386,"Michael Schulze","Geelong","Geelong","Hawthorn",0
1990,"1",1990-03-31,"Waverley Park",584,"Barry Stoneham","Geelong","Geelong","Hawthorn",0
1990,"1",1990-03-31,"Waverley Park",2298,"Mark Yeates","Geelong","Geelong","Hawthorn",0
1990,"1",1990-03-31,"Waverley Park",923,"Dean Anderson","Hawthorn","Geelong","Hawthorn",0
1990,"1",1990-03-31,"Waverley Park",1257,"Gary Ayres","Hawthorn","Geelong","Hawthorn",0
1990,"1",1990-03-31,"Waverley Park",234,"Dermott Brereton","Hawthorn","Geelong","Hawthorn",0
1990,"1",1990-03-31,"Waverley Park",625,"Andrew Collins","Hawthorn","Geelong","Hawthorn",0
1990,"1",1990-03-31,"Waverley Park",635,"Anthony Condon","Hawthorn","Geelong","Hawthorn",0
1990,"1",1990-03-31,"Waverley Park",1378,"Peter Curran","Hawthorn","Geelong","Hawthorn",0
1990,"1",1990-03-31,"Waverley Park",641,"Paul Dear","Hawthorn","Geelong","Hawthorn",0
1990,"1",1990-03-31,"Waverley Park",1673,"Robert Dickson","Hawthorn","Geelong","Hawthorn",0
1990,"1",1990-03-31,"Waverley Park",632,"Jason Dunstall","Hawthorn","Geelong","Hawthorn",3
1990,"1",1990-03-31,"Waverley Park",629,"Ray Jencke","Hawthorn","Geelong","Hawthorn",0
1990,"1",1990-03-31,"Waverley Park",1351,"John Kennedy","Hawthorn","Geelong","Hawthorn",0
1990,"1",1990-03-31,"Waverley Park",639,"Chris Langford","Hawthorn","Geelong","Hawthorn",0
1990,"1",1990-03-31,"Waverley Park",634,"Stephen Lawrence","Hawthorn","Geelong","Hawthorn",1
1990,"1",1990-03-31,"Waverley Park",499,"Greg Madigan","Hawthorn","Geelong","Hawthorn",0
1990,"1",1990-03-31,"Waverley Park",626,"Scott Maginness","Hawthorn","Geelong","Hawthorn",0
1990,"1",1990-03-31,"Waverley Park",1188,"Russell Morris","Hawthorn","Geelong","Hawthorn",0
1990,"1",1990-03-31,"Waverley Park",1306,"James Morrissey","Hawthorn","Geelong","Hawthorn",0
1990,"1",1990-03-31,"Waverley Park",630,"Darrin Pritchard","Hawthorn","Geelong","Hawthorn",2
1990,"1",1990-03-31,"Waverley Park",1319,"Michael Tuck","Hawthorn","Geelong","Hawthorn",0
1990,"1",1990-03-31,"Waverley Park",1317,"Chris Wittman","Hawthorn","Geelong","Hawthorn",0
1990,"1",1990-03-31,"M.C.G.",770,"Brett Allison","North Melbourne","North Melbourne","Melbourne",0
1990,"1",1990-03-31,"M.C.G.",11421,"Warwick Angus","North Melbourne","North Melbourne","Melbourne",0
1990,"1",1990-03-31,"M.C.G.",11453,"Mark Brayshaw","North Melbourne","North Melbourne","Melbourne",0
1990,"1",1990-03-31,"M.C.G.",1566,"Ben Buckley","North Melbourne","North Melbourne","Melbourne",0
1990,"1",1990-03-31,"M.C.G.",766,"Wayne Carey","North Melbourne","North Melbourne","Melbourne",0
1990,"1",1990-03-31,"M.C.G.",781,"Darren Crocker","North Melbourne","North Melbourne","Melbourne",0
