Kicks,Handballs,Disposals,Goals,Marks,Tackles,Hit.Outs,Clearances,Contested.Possessions,Uncontested.Possessions,Contested.Marks,Marks.Inside.50,Goal.Assists,Inside.50s,Rebounds,One.Percenters,Clangers,Is_Win,Is_Loss,Margin,Abs_Margin,Season,Brownlow.Votes,Player_Name,Playing.for,Round_num,ID,Exp_Votes,Home.team,Away.team,Home.score,Away.score,Team
19.0,9.0,28.0,0,3.0,2.0,0.0,,,,,,,,,,,1,0,86,86,1991,0.0,Grantley Fielke,Adelaide,1,1316,,Adelaide,Hawthorn,155,69,Adelaide
7.0,10.0,17.0,1,4.0,0.0,0.0,,,,,,,,,,,1,0,86,86,1991,0.0,Darel Hart,Adelaide,1,11504,,Adelaide,Hawthorn,155,69,Adelaide
3.0,5.0,8.0,0,2.0,1.0,0.0,,,,,,,,,,,1,0,86,86,1991,0.0,Eddie Hocking,Adelaide,1,11505,,Adelaide,Hawthorn,155,69,Adelaide
2.0,0.0,2.0,0,0.0,1.0,0.0,,,,,,,,,,,1,0,86,86,1991,0.0,Rod Jameson,Adelaide,1,3,,Adelaide,Hawthorn,155,69,Adelaide
15.0,14.0,29.0,1,4.0,0.0,0.0,,,,,,,,,,,1,0,86,86,1991,3.0,Andrew Jarman,Adelaide,1,8,,Adelaide,Hawthorn,155,69,Adelaide
11.0,10.0,21.0,4,9.0,0.0,0.0,,,,,,,,,,,1,0,86,86,1991,0.0,John Klug,Adelaide,1,11507,,Adelaide,Hawthorn,155,69,Adelaide
15.0,14.0,29.0,0,9.0,1.0,0.0,,,,,,,,,,,1,0,86,86,1991,0.0,Scott Lee,Adelaide,1,1,,Adelaide,Hawthorn,155,69,Adelaide
9.0,6.0,15.0,4,2.0,1.0,0.0,,,,,,,,,,,1,0,86,86,1991,0.0,Bruce Lindner,Adelaide,1,1921,,Adelaide,Hawthorn,155,69,Adelaide
10.0,4.0,14.0,0,4.0,1.0,0.0,,,,,,,,,,,1,0,86,86,1991,0.0,Bruce Lindsay,Adelaide,1,11509,,Adelaide,Hawthorn,155,69,Adelaide
22.0,7.0,29.0,2,7.0,1.0,0.0,,,,,,,,,,,1,0,86,86,1991,2.0,David Marshall,Adelaide,1,3990,,Adelaide,Hawthorn,155,69,Adelaide
12.0,8.0,20.0,3,8.0,2.0,0.0,,,,,,,,,,,1,0,86,86,1991,0.0,Rodney Maynard,Adelaide,1,26,,Adelaide,Hawthorn,155,69,Adelaide
11.0,10.0,21.0,0,3.0,1.0,0.0,,,,,,,,,,,1,0,86,86,1991,0.0,Chris McDermott,Adelaide,1,17,,Adelaide,Hawthorn,155,69,Adelaide
22.0,2.0,24.0,3,3.0,3.0,0.0,,,,,,,,,,,1,0,86,86,1991,0.0,Tony McGuinness,Adelaide,1,18,,Adelaide,Hawthorn,155,69,Adelaide
6.0,7.0,13.0,4,5.0,0.0,1.0,,,,,,,,,,,1,0,86,86,1991,0.0,Peter McIntyre,Adelaide,1,11510,,Adelaide,Hawthorn,155,69,Adelaide
1.0,9.0,10.0,0,5.0,0.0,10.0,,,,,,,,,,,1,0,86,86,1991,0.0,Romano Negri,Adelaide,1,1289,,Adelaide,Hawthorn,155,69,Adelaide
6.0,9.0,15.0,0,6.0,1.0,0.0,,,,,,,,,,,1,0,86,86,1991,1.0,Nigel Smart,Adelaide,1,5,,Adelaide,Hawthorn,155,69,Adelaide
13.0,3.0,16.0,2,10.0,0.0,0.0,,,,,,,,,,,1,0,86,86,1991,0.0,Darren Smith,Adelaide,1,11512,,Adelaide,Hawthorn,155,69,Adelaide
16.0,4.0,20.0,0,3.0,1.0,0.0,,,,,,,,,,,1,0,86,86,1991,0.0,Robert Thompson,Adelaide,1,3785,,Adelaide,Hawthorn,155,69,Adelaide
21.0,10.0,31.0,0,3.0,2.0,0.0,,,,,,,,,,,1,0,86,86,1991,0.0,Simon Tregenza,Adelaide,1,9,,Adelaide,Hawthorn,155,69,Adelaide
4.0,4.0,8.0,0,3.0,1.0,0.0,,,,,,,,,,,1,0,86,86,1991,0.0,Tom Warhurst,Adelaide,1,11513,,Adelaide,Hawthorn,155,69,Adelaide
17.0,2.0,19.0,0,3.0,0.0,0.0,,,,,,,,,,,0,1,-86,86,1991,0.0,Ben Allan,Hawthorn,1,481,,Adelaide,Hawthorn,155,69,Hawthorn
26.0,8.0,34.0,1,4.0,1.0,0.0,,,,,,,,,,,0,1,-86,86,1991,0.0,Dean Anderson,Hawthorn,1,923,,Adelaide,Hawthorn,155,69,Hawthorn
12.0,6.0,18.0,0,2.0,2.0,0.0,,,,,,,,,,,0,1,-86,86,1991,0.0,Gary Ayres,Hawthorn,1,1257,,Adelaide,Hawthorn,155,69,Hawthorn
7.0,4.0,11.0,0,6.0,1.0,0.0,,,,,,,,,,,0,1,-86,86,1991,0.0,Dermott Brereton,Hawthorn,1,234,,Adelaide,Hawthorn,155,69,Hawthorn
