season,ha_matches,finals_matches
1965,108,4
1966,108,4
1967,108,4
1968,120,4
1969,120,4
1970,132,4
1971,132,4
1972,132,7
1973,132,6
1974,132,6
1975,132,6
1976,132,6
1977,132,7
1978,132,6
1979,132,6
1980,132,6
1981,132,6
1982,132,6
1983,132,6
1984,132,6
1985,132,6
1986,132,6
1987,154,6
1988,154,6
1989,154,6
1990,154,7
1991,165,7
1992,165,7
1993,150,7
1994,165,9
1995,176,9
1996,176,9
1997,176,9
1998,176,9
1999,176,9
2000,176,9
2001,176,9
2002,176,9
2003,176,9
2004,176,9
2005,176,9
2006,176,9
2007,176,9
2008,176,9
2009,176,9
2010,176,10
2011,187,9
2012,198,9
2013,198,9
2014,198,9
2015,197,9
2016,198,9
2017,198,9
2018,198,9
2019,198,9
2020,153,9
2021,198,9
2022,198,9
2023,207,9
2024,207,9
2025,207,9
