season,ha_matches,finals_matches
1897,56,6
1898,68,2
1899,68,1
1900,68,2
1901,68,3
1902,68,4
1903,68,3
1904,68,3
1905,68,4
1906,68,3
1907,68,3
1908,90,3
1909,90,4
1910,90,4
1911,90,3
1912,90,4
1913,90,4
1914,90,4
1915,72,4
1916,24,4
1917,45,4
1918,56,3
1919,72,4
1920,72,4
1921,72,4
1922,72,4
1923,72,4
1924,72,6
1925,102,4
1926,108,4
1927,108,3
1928,108,4
1929,108,4
1930,108,4
1931,108,4
1932,108,4
1933,108,4
1934,108,4
1935,108,4
1936,108,4
1937,108,4
1938,108,4
1939,108,4
1940,108,4
1941,108,4
1942,80,4
1943,80,4
1944,108,4
1945,120,4
1946,114,5
1947,114,4
1948,114,5
1949,114,4
1950,108,4
1951,108,4
1952,114,4
1953,108,4
1954,108,4
1955,108,4
1956,108,4
1957,108,4
1958,108,4
1959,108,4
1960,108,4
1961,108,4
1962,108,5
1963,108,4
1964,108,4
