MatchId,Player,Team,RatingPoints,EstimatedRating,CoachesVotes,Supercoach,DreamTeamPoints,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,Inside50s,Turnovers,Tackles,PressureActs,ContestedPossessions,GroundBallGets,Intercepts,Marks,InterceptMarks,ContestedMarks,TotalClearances,RuckContests,Hitouts,HitoutsToAdvantage,ShotsAtGoal,Goals,Behinds,GoalAssists,ScoreInvolvements,ScoreLaunches,Season,Round
20160101,Marc Murphy,Carlton,17.1,12.75,6,123,126,73,16,11,27,81.5,640,6,5,6,16.0,6,2.0,4,7,1.0,0,3,0.0,0,0.0,2,1,1,1,6,2.0,2016,1
20160101,Anthony Miles,Richmond,16.3,10.62,0,85,68,72,6,13,19,73.7,213,4,3,4,12.0,13,8.0,2,1,0.0,0,7,0.0,0,0.0,1,1,0,0,5,2.0,2016,1
20160101,Alex Rance,Richmond,15.6,13.17,6,101,83,98,9,11,20,90.0,185,1,1,4,6.0,9,7.0,10,7,3.0,2,0,0.0,0,0.0,0,0,0,1,3,2.0,2016,1
20160101,Patrick Cripps,Carlton,15.2,10.18,1,106,88,84,8,19,27,74.1,115,2,3,3,21.0,17,12.0,2,4,0.0,0,10,0.0,1,0.0,3,1,1,0,6,2.0,2016,1
20160101,Sam Docherty,Carlton,15.1,8.53,3,118,99,84,13,16,29,82.8,365,1,3,2,10.0,8,4.0,8,6,1.0,1,0,0.0,0,0.0,0,0,0,0,6,2.0,2016,1
20160101,Sam Lloyd,Richmond,14.3,8.58,0,70,68,87,10,4,14,71.4,290,4,7,3,8.0,6,5.0,1,3,0.0,1,2,0.0,0,0.0,4,2,0,0,6,2.0,2016,1
20160101,Andrejs Everitt,Carlton,13.9,8.85,0,104,78,72,8,9,17,94.1,271,2,2,2,6.0,6,5.0,3,5,1.0,0,1,0.0,0,0.0,2,2,0,1,4,1.0,2016,1
20160101,Kane Lambert,Richmond,13.7,9.64,10,130,125,83,16,12,28,67.9,366,4,6,7,26.0,10,7.0,3,8,0.0,0,3,0.0,0,0.0,2,1,0,1,9,1.0,2016,1
20160101,Ben Griffiths,Richmond,13.5,6.35,0,73,46,71,6,4,10,90.0,278,5,2,1,9.0,5,5.0,1,4,0.0,0,1,24.0,7,2.0,0,0,0,3,4,0.0,2016,1
20160101,Matthew Kreuzer,Carlton,13.4,10.46,0,62,59,68,5,5,10,70.0,105,2,3,3,19.0,4,4.0,0,2,0.0,0,3,46.0,16,5.0,1,1,0,0,4,2.0,2016,1
20160101,Blaine Boekhorst,Carlton,13.2,5.97,0,69,72,88,11,4,15,73.3,308,5,0,3,20.0,4,4.0,3,6,0.0,0,1,0.0,0,0.0,1,0,1,0,6,2.0,2016,1
20160101,Shane Edwards,Richmond,13.1,12.01,0,72,50,83,7,5,12,91.7,273,3,1,3,13.0,6,5.0,1,1,0.0,0,2,0.0,0,0.0,1,1,0,1,7,2.0,2016,1
20160101,Jacob Weitering,Carlton,12.6,5.72,0,87,71,81,12,5,17,94.1,226,2,3,1,12.0,6,3.0,5,7,3.0,3,0,0.0,0,0.0,0,0,0,0,3,2.0,2016,1
20160101,Kamdyn McIntosh,Richmond,12.1,7.22,0,76,59,87,8,6,14,85.7,239,2,2,2,15.0,7,4.0,3,4,1.0,0,3,0.0,0,0.0,0,0,0,0,2,2.0,2016,1
20160101,Matthew Wright,Carlton,10.4,9.01,0,88,72,72,7,5,12,66.7,107,2,2,3,12.0,6,5.0,0,3,0.0,0,0,0.0,0,0.0,5,3,1,0,6,0.0,2016,1
20160101,Ed Curnow,Carlton,10.3,8.54,0,72,68,77,9,11,20,75.0,257,1,2,4,15.0,8,7.0,3,1,0.0,0,3,0.0,0,0.0,0,0,0,0,2,0.0,2016,1
