MatchId,Player,Team,Rating_Q1,Rating_Q2,Rating_Q3,Rating_Q4,RatingPoints,EstimatedRating,CoachesVotes,Supercoach,DreamTeamPoints,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,Inside50s,Turnovers,Tackles,PressureActs,KickIns,ContestedPossessions,GroundBallGets,Intercepts,Marks,InterceptMarks,ContestedMarks,CentreBounceAttendancePercentage,TotalClearances,FirstPossessions,RuckContests,Hitouts,HitoutsToAdvantage,ShotsAtGoal,Goals,Behinds,GoalAssists,ScoreInvolvements,ScoreLaunches,Season,Round
20200101,Patrick Cripps,Carlton,4.9,2.6,9.1,4.5,21.1,12.22,5,112,92,92,15,16,31,64.5,295,7,6,2,11,,17,9,1,3,0,0,,10,12,0,0,0,0,0,0,0,9,1,2020,1
20200101,Sam Petrevski-Seton,Carlton,5.0,4.4,3.7,5.2,18.4,7.53,0,113,59,84,11,8,19,89.5,211,2,0,2,12,,11,9,9,0,0,0,,3,2,0,0,0,0,0,0,0,4,3,2020,1
20200101,Dustin Martin,Richmond,3.1,7.3,1.6,3.8,15.8,13.5,4,126,90,93,12,12,24,75.0,257,4,2,4,16,,8,3,3,3,0,1,,3,4,0,0,0,2,1,1,2,8,1,2020,1
20200101,Daniel Rioli,Richmond,0.0,5.8,4.1,5.4,15.3,6.48,4,99,69,81,8,4,12,91.7,246,1,3,3,12,,5,4,1,3,0,0,,0,0,0,0,0,3,3,0,0,9,0,2020,1
20200101,Zac Fisher,Carlton,3.4,2.8,2.8,5.4,14.3,6.57,0,80,54,76,10,7,17,70.6,384,5,3,0,14,,8,7,2,3,0,0,,3,4,0,0,0,0,0,0,0,3,0,2020,1
20200101,Dion Prestia,Richmond,0.4,4.2,5.6,3.6,13.8,12.12,9,118,89,79,11,14,25,72.0,546,9,9,5,25,,7,5,3,2,0,0,,3,2,0,0,0,1,1,0,2,8,1,2020,1
20200101,Shai Bolton,Richmond,4.4,3.9,2.2,2.9,13.3,7.0,0,102,83,85,11,2,13,69.2,416,3,2,2,14,,3,2,0,6,0,0,,1,0,0,0,0,4,3,1,1,7,0,2020,1
20200101,Ivan Soldo,Richmond,4.4,0.4,5.3,3.1,13.3,8.59,0,100,71,58,4,6,10,90.0,133,1,0,3,14,,9,3,1,2,1,0,,5,5,42,25,6,1,0,1,0,7,4,2020,1
20200101,Shane Edwards,Richmond,6.0,0.4,5.1,1.8,13.2,10.81,0,86,52,90,7,8,15,86.7,312,6,3,2,16,,6,2,0,1,0,0,,5,5,0,0,0,2,1,0,2,8,0,2020,1
20200101,Jacob Weitering,Carlton,4.0,2.0,1.7,5.2,13.0,7.28,3,102,49,96,11,1,12,83.3,315,2,3,3,8,,9,6,8,2,0,0,,0,0,0,0,0,0,0,0,0,1,1,2020,1
