Feature,Importance
Coaches_Votes,0.25841102
Is_Loss,0.14891814
Impact_Score,0.0844384
Is_Win,0.049327824
Goals,0.04617645
Disposals,0.04555656
Margin,0.023647832
Uncontested.Possessions,0.018028744
Score_Involvements,0.017473789
Contested.Possessions,0.017313566
Hit.Outs,0.016710727
Season,0.016620353
Marks.Inside.50,0.016448693
Handballs,0.016257575
Kicks,0.016184263
Clearances,0.01612687
Contested_rate,0.016095452
Marks,0.015637157
Margin_Bucket_enc,0.015540754
Contested.Marks,0.01530862
Tackles,0.01489757
Clangers,0.014672052
One.Percenters,0.014656744
Abs_Margin,0.014631484
Disposal_efficiency,0.014502347
Inside.50s,0.014191754
Rebounds,0.014103962
Kick_to_HB_ratio,0.01406418
Goal.Assists,0.014057221
